"","x"
"1",0
"2",3
"3",1
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",2
"14",0
"15",0
"16",0
"17",0
"18",3
"19",0
"20",0
"21",4
"22",0
"23",7
"24",0
"25",0
"26",0
"27",0
"28",0
"29",2
"30",10
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",3
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",10
"45",0
"46",12
"47",0
"48",0
"49",4
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",4
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",2
"70",0
"71",0
"72",0
"73",0
"74",0
"75",3
"76",0
"77",0
"78",0
"79",0
"80",0
"81",8
"82",0
"83",0
"84",16
"85",18
"86",0
"87",1
"88",3
"89",0
"90",0
"91",0
"92",0
"93",0
"94",2
"95",3
"96",0
"97",0
"98",2
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",7
"115",11
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",10
"123",0
"124",0
"125",0
"126",0
"127",17
"128",27
"129",0
"130",0
"131",3
"132",2
"133",3
"134",0
"135",5
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",4
"148",0
"149",0
"150",0
"151",4
"152",0
"153",11
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",5
"163",0
"164",0
"165",0
"166",0
"167",8
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",16
"177",0
"178",0
"179",3
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",10
"187",0
"188",33
"189",0
"190",0
"191",3
"192",0
"193",0
"194",14
"195",2
"196",2
"197",0
"198",0
"199",0
"200",0
"201",9
"202",2
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",2
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",6
"226",0
"227",0
"228",0
"229",14.1
"230",0
"231",0
"232",6
"233",0
"234",8
"235",5
"236",4
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",8
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",3
"255",18
"256",0
"257",0
"258",0
"259",0
"260",0
"261",1
"262",9
"263",0
"264",0
"265",0
"266",0
"267",2
"268",1
"269",13
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",7
"290",0
"291",4
"292",4
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",10
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",4
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",4
"320",14
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",2
"330",4
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",2
"341",0
"342",0
"343",0
"344",0
"345",0
"346",3
"347",0
"348",0
"349",0
"350",0
"351",6
"352",0
"353",3
"354",3
"355",0
"356",0
"357",12
"358",6
"359",0
"360",0
"361",0
"362",0
"363",0
"364",10
"365",0
"366",0
"367",8
"368",10
"369",0
"370",0
"371",0
"372",0
"373",8
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",12
"381",0
"382",8
"383",5
"384",10
"385",0
"386",0
"387",0
"388",0
"389",0
"390",3
"391",0
"392",0
"393",0
"394",0
"395",0
"396",8
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",3
"404",0
"405",0
"406",0
"407",0
"408",2
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",8
"422",0
"423",0
"424",3
"425",0
"426",0
