"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0.2
"8",0
"9",0
"10",3.6
"11",4.6
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",1.4
"30",1.8
"31",0
"32",2
"33",0.2
"34",0
"35",0
"36",0
"37",0
"38",0
"39",3.2
"40",0.6
"41",0
"42",0
"43",0
"44",2.8
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",1.2
"61",0.4
"62",0
"63",1.2
"64",0
"65",0
"66",0
"67",0
"68",0
"69",8.4
"70",0.6
"71",0
"72",0
"73",0
"74",13
"75",3.6
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",1.2
"87",1
"88",0
"89",5.2
"90",0
"91",0
"92",0
"93",1
"94",0
"95",0
"96",0.4
"97",1.6
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0.2
"110",2
"111",0
"112",0
"113",0
"114",0
"115",8.6
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0.2
"122",0
"123",0
"124",4.6
"125",3
"126",3.6
"127",5.2
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",2.2
"146",0
"147",0
"148",0
"149",2.2
"150",3.2
"151",12.6
"152",0.6
"153",0
"154",0
"155",1.2
"156",0.6
"157",0
"158",2.6
"159",15.2
"160",6
"161",0
"162",0
"163",0
"164",0
"165",0.6
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",3.2
"180",6.4
"181",0
"182",0
"183",0
"184",0
"185",0
"186",4.5
"187",9
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
