"","x"
"1",200
"2",150
"3",100
"4",50
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",50
"37",50
"38",50
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",100
"55",500
"56",350
"57",200
"58",100
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",200
"88",150
"89",100
"90",50
"91",0
"92",0
"93",0
"94",200
"95",150
"96",100
"97",50
"98",40
"99",30
"100",20
"101",10
"102",400
"103",300
"104",210
"105",110
"106",10
"107",20
"108",50
"109",50
"110",50
"111",40
"112",30
"113",20
"114",10
"115",200
"116",150
"117",100
"118",50
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",100
"127",75
"128",50
"129",25
"130",0
"131",0
"132",120
"133",90
"134",60
"135",30
"136",0
"137",40
"138",30
"139",120
"140",85
"141",150
"142",400
"143",275
"144",175
"145",75
"146",0
"147",60
"148",45
"149",30
"150",15
"151",100
"152",75
"153",50
"154",25
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",340
"162",255
"163",170
"164",85
"165",130
"166",100
"167",65
"168",30
"169",0
"170",0
"171",0
"172",0
"173",200
"174",150
"175",100
"176",50
"177",0
"178",0
"179",0
"180",0
"181",280
"182",210
"183",140
"184",70
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",140
"195",285
"196",205
"197",105
"198",45
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",300
"209",225
"210",150
"211",75
"212",0
"213",80
"214",60
"215",40
"216",20
"217",0
"218",120
"219",90
"220",60
"221",30
"222",100
"223",75
"224",50
"225",55
"226",15
"227",15
"228",15
"229",15
"230",15
"231",160
"232",130
"233",90
"234",50
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",60
"246",45
"247",30
"248",15
"249",0
"250",0
"251",0
"252",0
"253",200
"254",150
"255",160
"256",255
"257",150
"258",95
"259",40
"260",80
"261",110
"262",77
"263",45
"264",13
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",50
"274",37
"275",25
"276",13
"277",0
"278",0
"279",0
"280",180
"281",135
"282",90
"283",45
"284",400
"285",300
"286",200
"287",160
"288",45
"289",30
"290",15
"291",0
"292",0
"293",0
"294",0
"295",0
"296",120
"297",130
"298",90
"299",50
"300",130
"301",90
"302",60
"303",30
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",80
"313",180
"314",170
"315",170
"316",695
"317",490
"318",375
"319",195
"320",30
"321",15
"322",0
"323",200
"324",150
"325",100
"326",70
"327",80
"328",65
"329",50
"330",75
"331",50
"332",200
"333",130
"334",80
"335",40
"336",525
"337",450
"338",375
"339",300
"340",225
"341",150
"342",75
"343",0
"344",0
"345",0
"346",100
"347",205
"348",140
"349",90
"350",30
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",140
"358",105
"359",70
"360",35
"361",0
"362",160
"363",120
"364",80
"365",40
"366",0
"367",0
"368",0
"369",160
"370",120
"371",80
"372",40
"373",0
"374",0
"375",0
"376",120
"377",90
"378",60
"379",30
"380",0
"381",0
"382",0
"383",0
"384",400
"385",300
"386",240
"387",170
"388",50
"389",170
"390",125
"391",85
"392",45
"393",20
"394",15
"395",10
"396",5
"397",0
"398",0
"399",30
"400",25
"401",15
"402",5
"403",180
"404",135
"405",90
"406",45
"407",0
"408",60
"409",45
"410",30
"411",15
"412",0
"413",60
"414",45
"415",30
"416",15
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",160
"465",120
"466",80
"467",40
"468",0
"469",0
"470",0
