"","x"
"1",272.3
"2",207.8
"3",545.7
"4",557.5
"5",260.6
"6",261.1
"7",118.5
"8",568.7
"9",97.7
"10",123.5
"11",282.8
"12",182.9
"13",49.1
"14",387.5
"15",134.9
"16",233.6
"17",104.7
"18",422.7
"19",345.6
"20",110.7
"21",323.8
"22",346.2
"23",212.9
"24",441.8
"25",169.7
"26",130
"27",251
"28",351.3
"29",298.8
"30",206.1
"31",175.4
"32",464.7
"33",443.3
"34",177.7
"35",292.9
"36",124.4
"37",146.5
"38",156.8
"39",332.8
"40",319.6
"41",42.3
"42",339
"43",116.4
"44",172.4
"45",281
"46",322.7
"47",175.3
"48",351.4
"49",764.9
"50",259.8
"51",225.2
"52",239.3
"53",72.5
"54",180.2
"55",401.2
"56",276.2
"57",440.8
"58",252.2
"59",173.6
"60",424
"61",313.8
"62",177.6
"63",204.6
"64",526.4
"65",131.1
"66",381.7
"67",353.5
"68",204.3
"69",432.1
"70",155.6
"71",282.1
"72",191.9
"73",430
"74",306.7
"75",300.8
"76",310.3
"77",424.5
"78",295.3
"79",387.1
"80",320.6
"81",268.5
"82",105.5
"83",353.5
"84",392.9
"85",116
"86",179.5
"87",316.7
"88",285.8
"89",487
"90",500.2
"91",463.7
"92",103
"93",244.9
"94",429.9
"95",409.4
"96",143.2
"97",225.2
"98",277.5
"99",631.7
"100",230.8
"101",159.4
"102",205.3
"103",91.4
"104",331.3
"105",400.7
"106",386.2
"107",404.2
"108",403.1
"109",378.8
"110",621.6
"111",317
"112",437.8
"113",341.6
"114",556.4
"115",233.5
"116",171.1
"117",155.6
"118",145
"119",320.6
"120",371.8
"121",123.3
"122",286.8
"123",231.6
"124",235.9
"125",232.5
"126",329.6
"127",276.3
"128",416.3
"129",160.9
"130",251.8
"131",129.7
"132",185.3
"133",205.7
"134",161.2
"135",127
"136",355.1
"137",286.3
"138",203.7
"139",122.3
"140",159.5
"141",383.7
"142",104.6
"143",378.4
"144",205
"145",215.3
"146",156.9
"147",170.2
"148",678.3
"149",191.1
"150",290.5
"151",343.1
"152",323.3
"153",358.1
"154",211.9
"155",178.3
"156",119.5
"157",158.6
"158",251.8
"159",563.1
"160",458.5
"161",553.7
"162",139.1
"163",204.5
"164",295.1
"165",217.1
"166",528.7
"167",128.8
"168",246.4
"169",133.4
"170",148.2
"171",173.5
"172",254.3
"173",338.7
"174",250.1
"175",471
"176",224.8
"177",266.5
"178",189.2
"179",199
"180",131.1
"181",314.2
"182",722.9
"183",401.6
"184",267.5
"185",214.1
"186",162
"187",209.3
"188",245.9
"189",357.7
"190",390
"191",126
"192",252.6
"193",116.3
"194",38.2
"195",231.7
"196",191.6
"197",228
"198",262
"199",128.3
"200",305.3
"201",326.2
"202",152.1
"203",277.1
"204",415.8
"205",355.8
"206",365.2
"207",92.2
"208",83.9
