"","x"
"1",356
"2",386
"3",397
"4",397
"5",413
"6",458
"7",485
"8",344
"9",390
"10",360
"11",420
"12",435
"13",439
"14",454
"15",462
"16",454
"17",469
"18",500
"19",492
"20",473
"21",458
"22",469
"23",481
"24",488
"25",466
"26",462
"27",473
"28",530
"29",662
"30",651
"31",587
"32",515
"33",526
"34",503
"35",503
"36",503
"37",515
"38",522
"39",492
"40",503
"41",503
"42",450
"43",432
"44",432
"45",458
"46",462
"47",503
"48",488
"49",466
"50",492
"51",503
"52",515
"53",500
"54",522
"55",575
"56",583
"57",587
"58",628
"59",640
"60",609
"61",606
"62",632
"63",617
"64",613
"65",598
"66",575
"67",564
"68",549
"69",538
"70",568
"71",575
"72",579
"73",587
"74",602
"75",594
"76",587
"77",587
"78",625
"79",613
