"","x"
"1",-15
"2",-47
"3",-7
"4",-1
"5",15012
"6",62337
"7",4022
"8",3130
"9",-422
"10",-8
"11",5
"12",220
"13",75253
"14",15036
"15",134440
"16",119740
"17",135590
"18",189636
"19",9308
"20",41099
"21",9391
"22",942
"23",1818
"24",672
"25",548704
"26",52819
"27",2793
"28",27749
"29",21887
"30",1110
"31",436
"32",1407
"33",376650
"34",122906
"35",15138
"36",5532
"37",544807
"38",43704
"39",5704
"40",9614
"41",1507
"42",13620
"43",101179
"44",80309
"45",335768
"46",91710
"47",9856
"48",107172
"49",299781
"50",21218
"51",157
"52",12961
"53",333529
"54",178105
"55",315564
"56",80206
"57",5940
"58",36819
"59",234562
"60",71881
