"","x"
"1",99194
"2",38074
"3",39410
"4",61516
"5",83929
"6",81578
"7",65821
"8",122169
"9",8482
"10",56007
"11",76001
"12",88218
"13",114433
"14",63599
"15",64988
"16",66842
"17",39626
"18",107503
"19",97129
"20",56404
"21",260576
"22",243523
"23",75473
"24",19037
"25",0
"26",78799
"27",176906
"28",49616
"29",119720
"30",114293
"31",-177370
"32",11345
"33",7020
"34",27880
"35",66800
"36",88576
"37",166178
"38",134206
"39",137890
"40",37520
"41",145200
"42",108770
"43",90286
"44",24461
"45",7593
"46",37581
"47",73261
"48",40697
"49",8133
"50",5867
"51",1125864
"52",125226
"53",0
"54",0
"55",11526
"56",23063
"57",1217488
"58",94139
"59",94139
"60",138134
