"","x"
"1",160
"2",158
"3",150
"4",151
"5",150
"6",151
"7",153
"8",157
"9",156
"10",158
"11",162
"12",161
"13",162
"14",163
"15",161
"16",160
"17",158
"18",159
"19",157
"20",159
"21",160
"22",162
"23",170
"24",172
"25",177
"26",184
"27",186
"28",187
"29",195
"30",202
"31",203
"32",205
"33",208
"34",209
"35",214
"36",215
"37",209
"38",203
"39",199
"40",192
"41",193
"42",190
"43",189
"44",185
"45",182
"46",181
"47",180
"48",181
"49",184
"50",186
"51",187
"52",185
"53",188
"54",192
"55",198
"56",197
"57",193
"58",190
"59",183
"60",178
"61",180
"62",183
"63",187
"64",193
"65",196
"66",197
"67",198
"68",201
"69",200
"70",201
"71",204
"72",206
"73",210
"74",211
"75",216
"76",212
"77",211
"78",210
"79",208
"80",205
"81",202
"82",201
"83",203
"84",205
"85",197
"86",188
"87",186
"88",185
"89",184
"90",183
"91",187
"92",173
"93",171
"94",173
"95",172
"96",174
"97",175
"98",171
"99",172
"100",175
