"","x"
"1",350
"2",339
"3",351
"4",364
"5",369
"6",331
"7",331
"8",340
"9",346
"10",341
"11",357
"12",398
"13",381
"14",367
"15",383
"16",375
"17",353
"18",361
"19",375
"20",371
"21",373
"22",366
"23",382
"24",429
"25",406
"26",403
"27",429
"28",425
"29",427
"30",409
"31",402
"32",409
"33",419
"34",404
"35",429
"36",463
"37",428
"38",449
"39",444
"40",467
"41",474
"42",463
"43",432
"44",453
"45",462
"46",456
"47",474
"48",514
"49",489
"50",475
"51",492
"52",525
"53",527
"54",533
"55",527
"56",522
"57",526
"58",513
"59",564
"60",599
"61",572
"62",587
"63",599
"64",601
"65",611
"66",620
"67",579
"68",582
"69",592
"70",581
"71",630
"72",663
"73",638
"74",631
"75",645
"76",682
"77",601
"78",595
"79",521
"80",521
"81",516
"82",496
"83",538
"84",575
"85",537
"86",534
"87",542
"88",538
"89",547
"90",540
"91",526
"92",548
"93",555
"94",545
"95",594
"96",643
"97",625
"98",616
"99",640
"100",625
"101",637
"102",634
"103",621
"104",641
"105",654
"106",649
"107",662
"108",699
"109",672
"110",704
"111",700
"112",711
"113",715
"114",718
"115",652
"116",664
"117",695
"118",704
"119",733
"120",772
"121",716
"122",712
"123",732
"124",755
"125",761
"126",748
"127",748
"128",750
"129",744
"130",731
"131",782
"132",810
"133",777
"134",816
"135",840
"136",868
"137",872
"138",811
"139",810
"140",762
"141",634
"142",626
"143",649
"144",697
"145",657
"146",549
"147",162
"148",177
"149",175
"150",162
"151",161
"152",165
"153",170
"154",172
"155",178
"156",186
"157",178
"158",178
"159",189
"160",205
"161",202
"162",185
"163",193
"164",200
"165",196
"166",204
"167",206
"168",227
"169",225
"170",217
"171",219
"172",236
"173",253
"174",213
"175",205
"176",210
"177",216
"178",218
"179",235
"180",241
