"","x"
"1",563000
"2",7590000
"3",1708000
"4",2142000
"5",3323000
"6",6197000
"7",1985000
"8",1316000
"9",1824000
"10",472000
"11",1346000
"12",6029000
"13",2670000
"14",2094000
"15",2464000
"16",1009000
"17",1475000
"18",856000
"19",3027000
"20",4271000
"21",3126000
"22",1115000
"23",2691000
"24",4253000
"25",1838000
"26",828000
"27",2403000
"28",742000
"29",1017000
"30",613000
"31",3185000
"32",2599000
"33",2227000
"34",896000
"35",975000
"36",1358000
"37",264000
"38",1375000
"39",2016000
"40",452000
"41",3292000
"42",538000
"43",1471000
"44",9313000
"45",864000
"46",470000
"47",2993000
"48",521000
"49",1144000
"50",2212000
"51",2212000
"52",2331000
"53",2616000
"54",2445000
"55",1927000
"56",808000
"57",1963000
"58",898000
"59",2764000
"60",2073000
"61",5e+05
"62",1740000
"63",8592000
"64",10856000
"65",2818000
"66",2284000
"67",1419000
"68",1328000
"69",1329000
"70",1479000
"71",3084000
