"","x"
"1",5.4
"2",5.4
"3",5.1
"4",4.8
"5",5.5
"6",6.1
"7",6.4
"8",6.8
"9",6.4
"10",6
"11",6.1
"12",6.1
"13",5.3
"14",5.5
"15",5.7
"16",5
"17",5.8
"18",9
"19",10.4
"20",9.9
"21",10.7
"22",9.7
"23",8.8
"24",8.1
"25",8.4
"26",6.4
"27",6.7
"28",7.4
"29",9.1
"30",11.9
"31",12.5
"32",11.8
"33",11.1
"34",13.1
"35",12.3
"36",9.7
"37",7.7
"38",7.6
"39",8.1
"40",8.9
"41",10.4
"42",13
"43",13.2
"44",12.3
"45",11.5
"46",12.8
"47",12.2
"48",10
"49",8.1
"50",7.3
"51",7.4
"52",7.9
"53",9.6
"54",12.1
"55",13.1
"56",12.4
"57",11.1
"58",11.7
"59",10.3
"60",9.3
"61",8
"62",7.4
"63",6.9
"64",7.6
"65",8.9
"66",12.2
"67",11.4
"68",10.3
"69",9.5
"70",9.6
"71",9.8
"72",8.4
"73",7.4
"74",6.7
"75",6.4
"76",7.1
"77",9.2
"78",10.7
"79",10.6
"80",9.3
"81",9
"82",8.9
"83",8.1
"84",7.2
"85",5.7
"86",5.8
"87",5.8
"88",6.2
"89",6.9
"90",9.1
"91",9
"92",8.7
"93",8
"94",7.8
"95",8.7
"96",7.4
"97",6.1
"98",5.3
"99",4.9
"100",5.1
"101",6
"102",7.4
"103",7.5
"104",7
"105",6.4
"106",6.6
"107",6.2
"108",5.6
"109",5.1
"110",5.2
"111",5.2
"112",4.8
"113",5.2
"114",6
"115",6.6
"116",7.1
"117",6.4
"118",6
"119",5.9
"120",5.2
"121",4.9
"122",4.7
"123",4.7
"124",5
"125",5.6
"126",7
"127",6.6
"128",7.1
"129",6.5
"130",6.6
"131",6.2
"132",6.3
"133",5.7
"134",5.8
"135",5.5
"136",5.7
"137",6.4
"138",9.3
"139",9.3
"140",8.6
"141",7.7
"142",9.4
"143",9.7
"144",9.2
"145",6.2
"146",6.3
"147",6.1
"148",7.2
"149",8.6
"150",11.5
"151",12.2
"152",12
"153",12
"154",13
"155",12.5
"156",11.2
"157",10
"158",6.9
"159",7.1
"160",7.7
"161",10.6
"162",13
"163",13.5
"164",12.6
"165",12.3
"166",11.3
"167",11.2
"168",10.8
"169",8.2
"170",7.6
"171",7.1
"172",6.8
"173",9.2
"174",11.5
"175",12.4
"176",11.7
"177",12.1
"178",12.5
"179",12.5
"180",10.6
"181",8.3
"182",7
"183",7.1
"184",7.8
"185",10.1
"186",12.6
"187",13.1
"188",12
"189",11.3
"190",11
"191",10.5
"192",8.8
"193",7.2
"194",6.8
"195",6
"196",6.1
"197",7
"198",9.2
"199",9
"200",8.6
"201",8.4
"202",8.7
"203",7.8
"204",6.3
"205",6.1
"206",6
"207",5.6
"208",5.8
"209",7
"210",8.6
"211",9.2
"212",8.8
"213",8
"214",7.5
"215",6.5
"216",5.5
"217",4.8
"218",5.2
"219",5
"220",5.3
"221",6
"222",7.2
"223",7.6
"224",7.3
"225",6.4
"226",6.2
"227",5.2
"228",5.2
"229",4.8
"230",4.8
"231",4.3
"232",4.7
"233",6
"234",6.2
"235",6.5
"236",6.3
"237",5.9
"238",5.7
"239",5.5
"240",5
