"","x"
"1",312
"2",300
"3",281
"4",267
"5",295
"6",325
"7",360
"8",365
"9",372
"10",375
"11",382
"12",350
"13",336
"14",314
"15",305
"16",280
"17",285
"18",316
"19",324
"20",325
"21",347
"22",359
"23",373
"24",331
"25",308
"26",295
"27",288
"28",268
"29",279
"30",313
"31",349
"32",401
"33",355
"34",418
"35",368
"36",345
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",291
"50",299
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",311
"63",335
"64",283
"65",286
"66",301
"67",318
"68",347
"69",370
"70",394
"71",360
"72",347
"73",334
"74",299
"75",292
"76",287
"77",293
"78",281
"79",357
"80",364
"81",399
"82",382
"83",390
"84",374
"85",335
"86",319
"87",309
"88",312
"89",311
"90",337
"91",334
"92",321
"93",392
"94",358
"95",365
"96",355
"97",328
"98",321
"99",282
"100",287
"101",291
"102",297
"103",332
"104",390
"105",367
"106",383
"107",375
"108",319
"109",331
"110",311
"111",288
"112",275
"113",299
"114",313
"115",329
"116",393
"117",398
"118",384
"119",373
"120",352
"121",328
"122",315
"123",303
"124",310
"125",298
"126",307
"127",347
"128",352
"129",395
"130",382
"131",365
"132",349
"133",324
"134",323
"135",301
"136",283
"137",280
"138",355
"139",337
"140",370
"141",325
"142",392
"143",384
"144",336
"145",325
"146",325
"147",296
"148",280
"149",285
"150",299
"151",320
"152",341
"153",385
"154",347
"155",382
"156",339
"157",331
"158",313
"159",286
"160",304
"161",284
"162",309
"163",387
"164",400
"165",418
"166",430
"167",403
"168",388
"169",346
"170",323
"171",310
"172",292
"173",302
"174",338
"175",362
"176",395
"177",417
"178",409
"179",417
"180",361
"181",348
"182",336
"183",306
"184",299
"185",309
"186",309
"187",400
"188",422
"189",373
"190",408
"191",376
"192",347
"193",325
"194",309
"195",284
"196",272
"197",298
"198",313
"199",338
"200",341
"201",385
"202",363
"203",348
"204",352
"205",336
"206",303
"207",291
"208",292
"209",303
"210",321
"211",300
"212",365
"213",385
"214",360
"215",349
"216",351
"217",319
"218",306
"219",290
"220",293
"221",298
"222",320
"223",377
"224",359
"225",360
"226",373
"227",376
"228",351
"229",329
"230",327
"231",297
"232",288
"233",295
"234",313
"235",336
"236",352
"237",380
"238",361
"239",355
"240",344
"241",318
"242",307
"243",276
"244",291
"245",297
"246",316
"247",383
"248",397
"249",393
"250",369
"251",361
"252",347
"253",334
"254",324
"255",307
"256",296
"257",278
"258",312
"259",341
"260",371
"261",348
"262",374
"263",353
"264",345
"265",345
"266",311
"267",299
"268",281
"269",286
"270",321
"271",332
"272",365
"273",378
"274",357
"275",371
"276",354
"277",335
"278",321
"279",284
"280",272
"281",296
"282",292
"283",352
"284",365
"285",365
"286",382
"287",374
"288",354
"289",322
"290",316
"291",292
"292",288
"293",287
"294",340
"295",338
"296",402
"297",417
"298",397
"299",383
"300",364
"301",332
"302",321
"303",297
"304",298
"305",278
"306",311
"307",378
"308",384
"309",411
"310",386
"311",385
"312",359
"313",341
"314",320
"315",317
"316",297
"317",302
"318",332
"319",335
"320",375
"321",373
"322",383
"323",382
"324",359
"325",326
"326",317
"327",293
"328",280
"329",266
"330",NA
"331",NA
"332",NA
"333",373
"334",415
"335",389
"336",362
"337",348
"338",329
"339",305
"340",285
"341",291
"342",284
"343",315
"344",375
"345",399
"346",374
"347",361
"348",351
"349",339
"350",332
"351",300
"352",292
"353",278
"354",317
"355",341
"356",402
"357",381
"358",395
"359",365
"360",360
"361",327
"362",308
"363",287
"364",284
"365",286
"366",312
"367",340
"368",342
"369",353
"370",375
"371",380
"372",349
"373",330
"374",321
"375",305
"376",279
"377",294
"378",322
"379",361
"380",351
"381",411
"382",417
"383",369
"384",369
"385",349
"386",330
"387",306
"388",312
"389",305
"390",326
"391",369
"392",367
"393",364
"394",390
"395",389
"396",373
"397",342
"398",330
"399",313
"400",294
"401",297
"402",328
"403",349
"404",397
"405",405
"406",400
"407",382
"408",353
"409",339
"410",315
"411",306
"412",299
"413",284
"414",332
"415",368
"416",333
"417",338
"418",365
"419",379
"420",349
"421",343
"422",322
"423",296
"424",288
"425",301
"426",304
"427",352
"428",362
"429",428
"430",400
"431",363
"432",349
"433",338
"434",302
"435",296
"436",271
"437",298
"438",309
"439",371
"440",408
"441",377
"442",381
"443",378
"444",352
"445",327
"446",310
"447",282
"448",273
"449",278
"450",293
"451",301
"452",335
"453",347
"454",378
"455",363
"456",330
"457",326
"458",323
"459",299
"460",288
"461",274
"462",310
"463",332
"464",390
"465",383
"466",385
"467",387
"468",345
"469",337
"470",318
"471",305
"472",275
"473",278
"474",305
"475",354
"476",338
"477",401
"478",380
"479",372
"480",NA
"481",NA
"482",326
"483",307
"484",282
"485",321
"486",319
"487",361
"488",362
"489",354
"490",374
"491",349
"492",358
"493",325
"494",317
"495",296
"496",273
"497",267
"498",304
"499",342
"500",383
"501",376
"502",379
"503",349
"504",351
"505",337
"506",335
"507",308
"508",275
"509",270
"510",331
"511",327
"512",419
"513",361
"514",393
"515",351
"516",364
"517",333
"518",333
"519",294
"520",281
"521",307
"522",345
"523",331
"524",417
"525",414
"526",419
"527",389
"528",360
"529",331
"530",323
"531",291
"532",278
"533",271
"534",309
"535",344
"536",349
"537",411
"538",364
"539",358
"540",358
"541",336
"542",309
"543",317
"544",278
"545",292
"546",306
