"","rate","error"
"1",163,7.7
"2",137,3.9
"3",136,4.2
"4",136,3.3
"5",149,3.8
"6",138,6
"7",115,3.9
"8",130,3.9
"9",140,1.2
"10",131,6
"11",124,4.2
"12",140,4.6
"13",142,3.7
"14",159,5.1
"15",130,3.1
"16",145,4.9
"17",130,4.2
"18",146,5.9
"19",144,4.3
"20",155,3.4
"21",135,3.4
"22",131,3.9
"23",150,5.6
"24",126,4.4
"25",140,2.3
"26",124,5.3
"27",129,3.3
"28",159,5.4
"29",116,3.1
"30",132,5.7
"31",133,3.8
"32",130,4.2
"33",135,5.7
"34",143,5.9
"35",128,2.6
"36",153,5.8
"37",127,7.9
"38",147,3.6
"39",141,7.5
"40",133,2.3
"41",158,6.4
"42",140,4.5
"43",128,6.8
"44",152,5.1
"45",120,4.9
"46",140,3.3
"47",130,5.2
"48",144,6.7
"49",130,5.8
"50",141,4.3
"51",125,4
"52",129,4.7
"53",123,3.8
"54",125,5
"55",141,4.5
"56",124,2.5
"57",146,1.2
"58",129,4.1
"59",126,1.7
"60",146,4.4
"61",149,6.2
"62",128,7.2
"63",149,3.1
"64",136,6
"65",141,4.4
"66",119,6.7
"67",130,1.4
"68",131,6.2
"69",142,5.2
"70",144,5.2
"71",145,4.4
"72",140,6.2
"73",128,6.6
"74",144,5.4
"75",141,4.8
"76",148,5
"77",130,3.4
"78",144,6.6
"79",113,4.4
"80",131,2.7
"81",124,3.3
"82",136,4.2
"83",161,4.9
"84",118,3.7
"85",153,4.6
"86",142,4.1
"87",129,8.2
"88",117,2.9
"89",131,7.3
"90",133,5.5
"91",145,5.1
"92",111,2.9
"93",133,2.2
"94",117,3.1
"95",131,2.8
"96",136,1.8
"97",129,1.9
"98",156,5.3
"99",127,5.2
"100",136,5.2
"101",130,2.9
"102",141,4.2
"103",121,1.5
"104",146,7.8
"105",112,2
"106",140,7.3
"107",127,5.5
"108",147,3.9
"109",121,3.9
"110",141,5.7
"111",139,4.3
"112",150,4.2
"113",143,5.2
"114",135,2.5
"115",132,7.1
"116",127,4.3
"117",139,6.7
"118",115,5.2
"119",127,2.6
"120",144,6.4
"121",133,4.3
"122",146,2.9
"123",138,5.9
"124",128,6.6
"125",112,3.9
"126",125,2.6
"127",135,2.1
"128",134,5.9
"129",146,2.9
"130",124,5.9
"131",158,3.6
"132",120,4.2
"133",127,3.4
"134",128,7
"135",154,3.8
"136",142,3.5
"137",134,3.6
"138",127,4.5
"139",137,5
"140",137,5.5
"141",113,4.4
"142",133,2.6
"143",144,3.5
"144",135,5.5
"145",136,4.5
"146",142,2.9
"147",157,5.5
"148",122,3.4
"149",145,4.2
"150",136,4.8
"151",125,5.4
"152",127,7.5
"153",114,5.2
"154",135,4.7
"155",139,4.7
"156",134,1.2
"157",146,3.3
"158",144,4.1
"159",134,6.3
"160",114,4.3
"161",127,7.1
"162",121,3.9
"163",145,5.7
"164",146,3.1
"165",136,3.6
"166",133,3.6
"167",137,1.7
"168",136,5.9
"169",144,1.9
"170",141,7.2
"171",133,4.3
"172",142,3.3
"173",135,1.2
"174",157,6.9
"175",132,3.4
"176",134,6.5
"177",129,6.1
"178",148,6.4
"179",141,2.1
"180",151,5.3
"181",125,5.4
"182",139,3.7
"183",131,3.7
"184",138,2.9
"185",128,3.6
"186",118,5.7
"187",128,5
"188",126,1.8
"189",132,5.9
"190",150,6.4
"191",139,6.7
"192",138,6.5
"193",133,5.8
"194",127,4.8
"195",139,4
"196",132,4.4
"197",151,1.6
"198",130,4.2
"199",141,9
"200",135,5.3
"201",134,3.7
"202",136,4.2
