"","x"
"1",13505
"2",14419
"3",12877
"4",16058
"5",19290
"6",13733
"7",13352
"8",17925
"9",21154
"10",18059
"11",23488
"12",18103
"13",22260
"14",27330
"15",25838
"16",28509
"17",28822
"18",21374
"19",21159
"20",25025
"21",22686
"22",22487
"23",26735
"24",21419
"25",26574
"26",26728
"27",26772
"28",26816
"29",28513
"30",21135
"31",14144
"32",27832
"33",28000
"34",31817
"35",30827
"36",30273
"37",32720
"38",28301
"39",31538
"40",21361
"41",29189
"42",23431
"43",12536
"44",24562
"45",34009
"46",30543
"47",33533
"48",32866
"49",28827
"50",29022
"51",28421
"52",23009
"53",26692
"54",19909
"55",8785
"56",21342
"57",27641
"58",24821
"59",28107
"60",27149
"61",24151
"62",25282
"63",22021
"64",22353
"65",26386
"66",21643
"67",13877
"68",27252
"69",28752
"70",26315
"71",31460
"72",26755
"73",26474
"74",28043
"75",24805
"76",30010
"77",30928
"78",19243
"79",13441
"80",33235
"81",35461
"82",30314
"83",32206
"84",25919
"85",31192
"86",30453
"87",29930
"88",32430
"89",29304
"90",21175
"91",14998
"92",27222
"93",31062
"94",29498
"95",33186
"96",31405
"97",36537
"98",34714
"99",36861
"100",38137
"101",28926
"102",28590
"103",16199
"104",35081
"105",33993
"106",36715
"107",34743
"108",33635
"109",36441
"110",31749
"111",34085
"112",34176
"113",35892
"114",29240
"115",13926
"116",31083
"117",34678
"118",31040
"119",32569
"120",29654
"121",35592
"122",39652
"123",39674
"124",37991
"125",38817
"126",26566
"127",11239
"128",20202
"129",33683
"130",30653
"131",37288
"132",36104
"133",33151
"134",36336
"135",31696
"136",35065
"137",33313
"138",27114
"139",16503
"140",31871
"141",36661
"142",29520
"143",34157
"144",27015
"145",31567
"146",40177
"147",35742
"148",37479
"149",31978
"150",28722
"151",12965
"152",33563
"153",36023
"154",33655
"155",37889
"156",35260
"157",38718
"158",35226
"159",36954
"160",36332
"161",30602
"162",23016
"163",10704
"164",27891
"165",26589
"166",29007
"167",34787
"168",31563
"169",33175
"170",31008
"171",34097
"172",35598
"173",28769
"174",27779
"175",10284
"176",31740
"177",35850
"178",29464
"179",35950
"180",34625
"181",32752
"182",32645
"183",39380
"184",35709
"185",38089
"186",28543
"187",8100
"188",29545
"189",33671
"190",26963
"191",33047
"192",28828
"193",27306
"194",29387
"195",28764
"196",13744
"197",33166
"198",23874
"199",10892
"200",28540
"201",31090
"202",27450
"203",32522
"204",28657
"205",31845
"206",25093
"207",31514
"208",34693
"209",36431
"210",27762
"211",10545
"212",32313
"213",36743
"214",26972
"215",43134
"216",38029
"217",37981
"218",40268
"219",35586
"220",38296
"221",37737
"222",25584
"223",9305
"224",30470
"225",28923
"226",22534
"227",30937
"228",25711
"229",31002
"230",25877
"231",29124
"232",30547
"233",28683
"234",24935
"235",10951
"236",28835
"237",28764
"238",25863
"239",32391
"240",32131
"241",34359
"242",33641
"243",32368
"244",28172
"245",36915
"246",33994
"247",10980
"248",30891
"249",39417
"250",29767
"251",35858
"252",37866
"253",38794
"254",38836
"255",34065
"256",30978
"257",28700
"258",22826
"259",3824
"260",29054
"261",29359
"262",23272
"263",27599
"264",27378
"265",29487
"266",31917
"267",30937
"268",28290
"269",32333
"270",23789
"271",11410
"272",28432
"273",35260
"274",24786
"275",36765
"276",28910
"277",34863
"278",37495
"279",34093
"280",35150
"281",35702
"282",27527
"283",10619
"284",29035
"285",32961
"286",27045
"287",36310
"288",35012
"289",41778
"290",39642
"291",35529
"292",39332
"293",32667
"294",23833
"295",11861
"296",27545
"297",28654
"298",23425
"299",31149
"300",29349
"301",32447
"302",27964
"303",27242
"304",27754
"305",27760
"306",22540
"307",6509
"308",25787
"309",25270
"310",24136
"311",29324
"312",25324
"313",31107
"314",28441
"315",29368
"316",29753
"317",29766
"318",25143
"319",6924
"320",25208
"321",31310
"322",21004
"323",28488
"324",28281
"325",25982
"326",31366
"327",30754
"328",30073
"329",34085
"330",23814
"331",7948
"332",27228
"333",26614
"334",27316
"335",33016
"336",34944
"337",32648
"338",36304
"339",35466
"340",35087
"341",36145
"342",24188
"343",12666
"344",32639
"345",36836
"346",30062
"347",40064
"348",33938
"349",37135
"350",35167
"351",23985
"352",30063
"353",28225
"354",20138
"355",11963
"356",25019
"357",22129
"358",21881
"359",30241
"360",24715
"361",26661
"362",27651
"363",22303
"364",25989
"365",23870
"366",16001
"367",11055
"368",21181
"369",25467
"370",18725
"371",24435
"372",25496
"373",27129
"374",24473
"375",26353
"376",26089
"377",20099
"378",19668
"379",10191
"380",23159
"381",27597
"382",21016
"383",25000
"384",23869
"385",25995
"386",27637
"387",26918
"388",24592
"389",27982
"390",21120
"391",11978
"392",26012
"393",29548
"394",21375
"395",28792
"396",26159
"397",25221
"398",29115
"399",30391
"400",29057
"401",30873
"402",20991
"403",10387
"404",24203
"405",26690
"406",16308
"407",29585
"408",28157
"409",27217
"410",31101
