"","x"
"1",40801
"2",49081
"3",52431
"4",59650
"5",75428
"6",78705
"7",68870
"8",70641
"9",80074
"10",76464
"11",69976
"12",92917
"13",92559
"14",73981
"15",71107
"16",96942
"17",86270
"18",69610
"19",57768
"20",80077
"21",71454
"22",70382
"23",69881
"24",84530
"25",79322
"26",80181
"27",82137
"28",88439
"29",91575
"30",82909
"31",73282
"32",94089
"33",108112
"34",95653
"35",85273
"36",105093
"37",102275
"38",99308
"39",79687
"40",93263
"41",114918
"42",103374
"43",65124
"44",104045
"45",101183
"46",95492
"47",85035
"48",90692
"49",107486
"50",98179
"51",82551
"52",106804
"53",110898
"54",89950
"55",65184
"56",95357
"57",98280
"58",92146
"59",77874
"60",100039
"61",104777
"62",102341
"63",71316
"64",88838
"65",85457
"66",70784
"67",70522
"68",88629
"69",88452
"70",98886
"71",79601
"72",108135
"73",113835
"74",101617
"75",68698
"76",79182
"77",86003
"78",84165
"79",68550
"80",90385
"81",100368
"82",99081
"83",81288
"84",103491
"85",111695
"86",82504
"87",62237
"88",78249
"89",92341
"90",84412
"91",75102
"92",90461
"93",106451
"94",98379
"95",72615
"96",98367
"97",116949
"98",95832
"99",68060
"100",83923
"101",87653
"102",78054
"103",57566
"104",78784
"105",88916
"106",84662
"107",63442
"108",77773
"109",88102
"110",87972
"111",61790
"112",95276
"113",104418
"114",95420
"115",82141
"116",104064
"117",96287
"118",78426
"119",59111
"120",76837
"121",76615
"122",65860
"123",57703
"124",68656
"125",77955
"126",65856
"127",60947
"128",69885
"129",80550
"130",73694
"131",67538
"132",76326
"133",84727
