"","x"
"1",91700
"2",82800
"3",82300
"4",87400
"5",88000
"6",88735
"7",87587
"8",89677
"9",82975
"10",72590
"11",76977
"12",73146
"13",71924
"14",80868
"15",88288
"16",85569
"17",76252
"18",88951
"19",88923
"20",94461
"21",89092
"22",72013
"23",73888
"24",71851
"25",77556
"26",83336
"27",83776
"28",75891
"29",85167
"30",84050
"31",72558
"32",88615
"33",74504
"34",70673
"35",67103
"36",80385
"37",74428
"38",84274
"39",85745
"40",78873
"41",88320
"42",82446
"43",83859
"44",94645
"45",89546
"46",78782
"47",79043
"48",84102
"49",89882
"50",79673
"51",72937
"52",79100
"53",86400
"54",84800
"55",92700
"56",92100
"57",89500
"58",83200
"59",72100
"60",78100
"61",88900
"62",79300
"63",85900
"64",87500
"65",94800
"66",94800
"67",95700
"68",95200
"69",89900
"70",83935
"71",82207
"72",95372
"73",105134
"74",100327
"75",86078
"76",101000
"77",105400
"78",113700
"79",103600
"80",109400
"81",102000
"82",95000
"83",96000
"84",99000
"85",113000
"86",99000
"87",1e+05
"88",104000
"89",116000
"90",110000
