"","x"
"1",513
"2",530
"3",519
"4",549
"5",545
"6",531
"7",586
"8",581
"9",577
"10",575
"11",584
"12",581
"13",577
"14",641
"15",640
"16",687
"17",637
"18",747
"19",744
"20",793
"21",743
"22",803
"23",872
"24",792
"25",885
"26",883
"27",856
"28",870
"29",882
"30",825
"31",982
"32",999
"33",1016
"34",905
"35",1053
"36",1020
"37",978
"38",963
"39",1150
"40",1160
"41",1064
"42",1142
"43",1251
"44",1287
"45",1193
"46",1275
"47",1335
"48",1253
"49",1346
"50",1365
"51",1338
"52",1522
"53",1514
"54",1502
"55",1514
"56",1577
"57",1409
"58",1494
"59",1599
"60",1645
"61",1519
"62",1468
"63",1615
"64",1524
"65",1414
"66",1507
"67",1671
"68",1901
"69",1799
"70",1848
"71",1975
"72",2037
"73",1924
"74",1571
"75",1809
"76",1946
"77",2006
"78",1835
"79",1881
"80",1751
"81",1927
"82",1960
"83",1909
"84",1623
"85",1711
"86",1716
"87",1667
"88",1659
"89",1862
"90",1910
"91",1770
"92",1795
"93",1866
"94",1916
"95",1984
"96",2045
"97",1885
"98",1362
"99",1889
"100",1823
"101",1923
"102",1768
"103",1670
"104",1469
"105",1771
"106",1664
"107",1391
"108",1130
"109",1137
"110",1235
"111",1336
"112",1337
"113",1329
"114",1285
"115",1369
"116",1346
"117",1286
"118",1330
"119",1478
"120",1513
"121",1474
"122",1460
"123",1451
"124",1504
"125",1445
"126",1383
"127",1584
"128",1246
"129",1333
"130",1382
"131",1491
"132",1526
"133",1441
"134",1416
"135",1587
"136",1632
"137",1458
"138",1492
"139",1592
"140",1583
"141",1251
"142",1173
"143",1644
"144",1579
"145",1611
"146",1560
"147",1652
"148",1565
"149",1523
"150",1685
"151",1734
"152",1804
"153",1745
"154",1926
"155",1935
