"","x"
"1",1247
"2",1239
"3",1230
"4",1226
"5",1242
"6",1239
"7",1240
"8",1239
"9",1246
"10",1244
"11",1232
"12",1231
"13",1220
"14",1203
"15",1199
"16",1184
"17",1171
"18",1163
"19",1153
"20",1142
"21",1144
"22",1139
"23",1139
"24",1125
"25",1126
"26",1127
"27",1130
"28",1135
"29",1131
"30",1113
"31",1123
"32",1127
"33",1154
"34",1152
"35",1169
"36",1202
"37",1212
"38",1225
"39",1229
"40",1226
"41",1208
"42",1201
"43",1200
"44",1218
"45",1233
"46",1246
"47",1248
"48",1252
"49",1268
"50",1274
"51",1275
"52",1278
"53",1289
"54",1298
"55",1319
"56",1353
"57",1375
"58",1134
"59",1355
"60",1346
"61",1347
"62",1328
"63",1315
"64",1309
"65",1304
"66",1299
"67",1295
"68",1284
"69",1299
"70",1304
"71",1299
"72",1293
"73",1288
"74",1278
"75",1245
"76",1229
"77",1224
"78",1222
"79",1207
"80",1212
"81",1200
"82",1181
"83",1182
"84",1187
"85",1195
"86",1196
"87",1208
"88",1214
"89",1234
"90",1218
"91",1220
"92",1224
"93",1224
"94",1225
"95",1223
"96",1230
"97",1219
"98",1191
"99",1191
"100",1210
"101",1197
"102",1193
"103",1156
"104",1160
