"","x"
"1",18705
"2",20232
"3",20467
"4",22123
"5",25036
"6",26839
"7",29640
"8",30935
"9",28278
"10",24235
"11",22370
"12",21224
"13",21061
"14",19598
"15",21463
"16",23287
"17",24065
"18",27447
"19",30413
"20",32307
"21",32974
"22",29973
"23",23986
"24",26953
"25",24250
"26",23518
"27",20816
"28",23743
"29",25152
"30",28804
"31",31158
"32",31540
"33",32849
"34",33748
"35",31910
"36",27609
"37",25170
"38",24040
"39",25368
"40",21260
"41",24109
"42",26320
"43",27701
"44",34502
"45",33297
"46",31252
"47",35173
"48",36207
"49",31511
"50",28560
"51",26828
"52",26660
