"","x"
"1",96
"2",97
"3",99
"4",100
"5",102
"6",106
"7",102
"8",80
"9",104
"10",104
"11",107
"12",102
"13",100
"14",107
"15",110
"16",111
"17",114
"18",113
"19",109
"20",91
"21",116
"22",118
"23",123
"24",121
"25",119
"26",125
"27",131
"28",132
"29",135
"30",138
"31",132
"32",106
"33",134
"34",132
"35",136
"36",132
"37",133
"38",140
"39",142
"40",146
"41",148
"42",149
"43",147
"44",115
"45",150
"46",152
"47",158
"48",154
"49",155
"50",159
"51",160
"52",163
"53",167
"54",160
"55",162
"56",126
"57",160
"58",161
"59",167
"60",167
"61",164
"62",165
"63",173
"64",179
"65",181
"66",182
"67",175
"68",131
"69",183
"70",181
"71",184
"72",179
"73",181
"74",179
"75",187
"76",185
"77",183
"78",177
"79",176
"80",130
"81",176
"82",175
"83",181
"84",176
"85",175
"86",182
"87",182
"88",185
"89",191
"90",191
"91",188
"92",139
"93",189
"94",190
"95",199
"96",193
"97",195
"98",200
"99",205
"100",208
"101",216
"102",216
"103",210
"104",169
"105",217
"106",213
"107",220
"108",217
