"","x"
"1",54.1
"2",59.5
"3",56.5
"4",63.9
"5",57.8
"6",62
"7",58.5
"8",65
"9",59.6
"10",63.6
"11",60.4
"12",66.3
"13",60.6
"14",66.8
"15",63.2
"16",71
"17",66.5
"18",72
"19",67.8
"20",75.6
"21",69.2
"22",74.1
"23",70.7
"24",77.8
"25",72.3
"26",78.1
"27",72.4
"28",82.6
"29",72.9
"30",79.5
"31",72.6
"32",82.8
"33",76
"34",85.1
"35",80.5
"36",89.1
"37",84.8
"38",94.2
"39",89.5
"40",99.3
"41",93.1
"42",103.5
"43",96.4
"44",107.2
"45",101.7
"46",109.5
"47",101.3
"48",112.6
"49",105.5
"50",115.4
"51",108
"52",129.9
"53",112.4
"54",123.6
"55",114.9
"56",131
"57",122.6
"58",131.9
"59",120.5
"60",130.7
"61",115.7
"62",119.7
"63",109.7
"64",125.1
