"","x"
"1",128
"2",134
"3",133
"4",141
"5",134
"6",142
"7",143
"8",136
"9",108
"10",142
"11",146
"12",149
"13",141
"14",156
"15",151
"16",160
"17",156
"18",160
"19",161
"20",149
"21",118
"22",147
"23",158
"24",146
"25",132
"26",139
"27",139
"28",137
"29",144
"30",146
"31",149
"32",142
"33",101
"34",141
"35",122
"36",145
"37",148
"38",137
"39",137
"40",155
"41",152
"42",153
"43",152
"44",153
"45",113
"46",151
"47",159
"48",165
"49",161
"50",160
"51",167
"52",178
"53",167
"54",176
"55",173
"56",164
"57",123
"58",175
"59",175
"60",176
"61",174
