"","x"
"1",210
"2",223
"3",204
"4",244
"5",274
"6",246
"7",237
"8",267
"9",212
"10",211
"11",188
"12",188
"13",215
"14",225
"15",230
"16",214
"17",276
"18",261
"19",250
"20",248
"21",229
"22",221
"23",209
"24",214
"25",211
"26",210
"27",214
"28",208
"29",276
"30",269
"31",265
"32",253
"33",244
"34",202
"35",221
"36",210
"37",187
"38",196
"39",195
"40",246
"41",266
"42",228
"43",257
"44",233
"45",227
"46",188
"47",195
"48",191
"49",201
"50",205
"51",235
"52",243
"53",250
"54",234
"55",256
"56",231
"57",229
"58",185
"59",187
"60",189
