"","x"
"1",153
"2",159
"3",138
"4",142
"5",145
"6",154
"7",160
"8",144
"9",152
"10",155
"11",146
"12",158
"13",164
"14",153
"15",165
"16",147
"17",150
"18",161
"19",158
"20",161
"21",147
"22",137
"23",139
"24",137
"25",155
"26",135
"27",189
"28",163
"29",140
"30",160
"31",155
"32",137
"33",136
"34",158
"35",145
"36",163
"37",140
"38",150
"39",161
"40",161
"41",141
"42",140
"43",147
"44",152
"45",183
"46",144
"47",159
"48",153
"49",143
"50",136
"51",171
"52",160
"53",141
"54",161
"55",159
"56",140
"57",155
"58",159
"59",145
"60",140
