"","x"
"1",103
"2",113
"3",105
"4",99
"5",102
"6",93
"7",77
"8",89
"9",101
"10",95
"11",107
"12",111
"13",100
"14",116
"15",101
"16",112
"17",102
"18",96
"19",91
"20",94
"21",104
"22",120
"23",110
"24",114
"25",114
"26",124
"27",115
"28",111
"29",120
"30",132
"31",116
"32",126
"33",139
"34",125
"35",147
"36",144
"37",149
"38",150
"39",130
"40",135
"41",138
"42",149
"43",119
"44",120
"45",148
"46",143
"47",146
"48",149
"49",146
"50",148
"51",122
"52",139
"53",131
"54",140
"55",110
"56",118
"57",110
"58",112
"59",122
"60",115
