"","x"
"1",650
"2",610
"3",650
"4",620
"5",600
"6",950
"7",580
"8",620
"9",560
"10",690
"11",1020
"12",570
"13",600
"14",620
"15",650
"16",540
"17",580
"18",830
"19",560
"20",610
"21",550
"22",690
"23",980
"24",960
"25",600
"26",590
"27",590
"28",570
"29",620
"30",990
"31",570
"32",660
"33",640
"34",790
"35",980
"36",580
"37",600
"38",650
"39",650
"40",640
"41",660
"42",920
"43",580
"44",560
"45",640
"46",730
"47",1090
"48",550
"49",570
"50",580
"51",600
"52",580
"53",630
"54",850
"55",590
"56",610
"57",550
"58",660
"59",890
"60",540
