"","x"
"1",700
"2",760
"3",770
"4",800
"5",720
"6",740
"7",760
"8",820
"9",700
"10",710
"11",730
"12",740
"13",810
"14",810
"15",820
"16",720
"17",750
"18",750
"19",780
"20",810
"21",780
"22",810
"23",820
"24",850
"25",820
"26",790
"27",840
"28",760
"29",760
"30",880
"31",880
"32",850
"33",860
"34",890
"35",880
"36",840
"37",920
"38",840
"39",770
"40",930
"41",910
"42",820
"43",770
"44",870
"45",880
"46",940
"47",880
"48",820
"49",900
"50",810
"51",820
"52",820
"53",860
"54",810
"55",960
"56",830
"57",860
"58",880
"59",860
"60",900
