"","x"
"1",81.28
"2",69.39
"3",67.63
"4",51.25
"5",103.97
"6",133.83
"7",162.37
"8",172.91
"9",163.01
"10",151.5
"11",111.73
"12",88.58
"13",74.29
"14",63.98
"15",61.18
"16",76.48
"17",107.98
"18",124.97
"19",145.57
"20",140.2
"21",143.84
"22",138.8
"23",104.06
"24",74.7
"25",60.18
"26",55.16
"27",35.62
"28",56.18
"29",85.44
"30",114.08
"31",133.64
"32",67.14
"33",95.58
"34",89.37
"35",75.24
"36",69.18
"37",54.49
"38",57.5
"39",62.16
"40",76.67
"41",110.04
"42",127.38
"43",156.47
"44",167.56
"45",153.54
"46",124.08
"47",100.97
"48",79.17
"49",68.13
"50",61.77
"51",54.31
"52",60.3
"53",84.18
"54",104.05
"55",114.66
"56",105.55
"57",96.61
"58",70.94
"59",63.91
"60",58.61
"61",44.53
"62",49.58
"63",57.39
"64",76.76
"65",104.57
"66",125.41
"67",143.11
"68",136.35
"69",135.15
"70",131.7
"71",96.87
"72",70.63
"73",66.29
"74",63.49
"75",62.97
"76",66.43
"77",101.49
"78",127.69
"79",133.21
"80",158.72
"81",148.61
"82",134.31
"83",100.99
"84",75.16
"85",59.74
"86",52.87
"87",52.07
"88",57.38
"89",79.43
"90",101.4
"91",120.19
"92",134.38
"93",135.97
"94",113.83
"95",84.38
"96",70.28
"97",65.96
"98",56.36
"99",49.57
"100",68.33
"101",90.32
"102",117.06
"103",134.69
"104",131.67
"105",129.25
"106",118.77
"107",88.44
"108",76.79
"109",75.28
"110",73.89
"111",76.24
"112",88.58
"113",105.83
"114",115.84
"115",127.76
"116",131.75
"117",119.63
"118",93.38
"119",75.55
"120",51.79
