"","x"
"1",172
"2",166
"3",175
"4",171
"5",184
"6",175
"7",183
"8",154
"9",182
"10",161
"11",191
"12",197
"13",193
"14",174
"15",178
"16",171
"17",176
"18",184
"19",202
"20",199
"21",185
"22",191
"23",185
"24",205
"25",201
"26",176
"27",200
"28",190
"29",203
"30",182
"31",193
"32",198
"33",193
"34",185
"35",192
"36",204
"37",202
"38",184
"39",191
"40",196
"41",210
"42",235
"43",214
"44",215
"45",211
"46",261
"47",210
"48",216
"49",216
"50",198
"51",223
"52",243
"53",252
"54",252
"55",243
"56",255
"57",246
"58",259
"59",252
"60",282
"61",239
"62",237
"63",267
"64",245
"65",275
"66",283
"67",299
"68",297
"69",276
"70",256
"71",237
"72",299
"73",304
"74",273
"75",308
"76",303
"77",301
"78",279
"79",298
"80",291
"81",267
"82",286
"83",279
"84",305
"85",302
"86",274
"87",306
"88",277
"89",296
"90",252
"91",304
"92",350
"93",328
"94",328
"95",337
"96",334
"97",340
"98",332
"99",344
"100",288
"101",295
"102",322
"103",357
"104",359
"105",337
"106",330
"107",337
"108",353
"109",339
"110",316
"111",323
"112",306
"113",322
"114",335
"115",382
"116",392
"117",376
"118",373
"119",385
"120",402
"121",380
"122",328
"123",356
"124",352
"125",389
"126",401
"127",429
"128",402
"129",420
"130",440
"131",427
"132",420
"133",426
"134",361
"135",406
"136",388
"137",453
"138",434
"139",445
"140",456
"141",434
"142",423
"143",388
"144",442
"145",452
"146",427
"147",467
"148",449
"149",473
"150",443
"151",419
"152",457
"153",462
"154",505
"155",495
"156",522
"157",518
"158",456
"159",540
"160",495
"161",502
"162",505
"163",497
"164",516
"165",501
"166",523
"167",521
"168",533
"169",524
"170",458
"171",427
"172",440
"173",539
"174",515
"175",526
"176",536
"177",537
"178",564
"179",531
"180",550
"181",536
"182",450
"183",533
"184",521
"185",438
"186",509
"187",535
"188",544
"189",536
"190",549
"191",509
"192",466
"193",472
"194",444
"195",498
"196",478
"197",532
"198",497
"199",542
"200",553
"201",576
"202",626
"203",629
"204",646
"205",611
"206",542
"207",646
"208",653
"209",662
"210",533
"211",662
"212",673
"213",640
"214",682
"215",648
"216",707
"217",662
"218",611
"219",651
"220",522
"221",525
"222",524
"223",630
"224",596
"225",583
"226",632
"227",614
"228",700
"229",688
"230",645
"231",673
"232",644
"233",660
"234",531
"235",555
"236",675
"237",651
"238",639
"239",605
"240",507
"241",711
"242",574
"243",642
"244",623
"245",674
"246",663
"247",675
"248",629
"249",605
"250",571
"251",495
"252",557
"253",604
"254",527
"255",580
"256",574
"257",601
"258",541
"259",508
"260",613
"261",546
"262",564
"263",549
"264",546
"265",592
"266",597
"267",673
"268",613
"269",651
"270",646
"271",594
"272",599
"273",577
"274",626
"275",573
"276",596
"277",631
"278",586
"279",649
"280",641
"281",662
"282",613
"283",650
"284",666
"285",668
"286",697
"287",656
"288",692
"289",707
"290",628
"291",550
"292",439
"293",434
"294",489
"295",643
"296",658
"297",588
"298",608
"299",598
"300",617
"301",668
"302",605
"303",650
"304",583
"305",607
"306",578
"307",582
"308",605
"309",483
"310",476
"311",489
"312",504
"313",610
"314",541
"315",620
"316",561
"317",571
"318",532
"319",545
"320",480
"321",366
"322",367
"323",377
"324",386
"325",380
"326",364
"327",393
"328",391
"329",421
"330",423
"331",461
"332",442
"333",433
"334",450
"335",434
"336",453
"337",464
"338",401
"339",464
"340",399
"341",441
"342",445
"343",466
"344",458
"345",445
"346",456
"347",425
"348",465
"349",448
"350",379
"351",459
"352",417
"353",446
"354",467
"355",496
"356",490
"357",492
"358",513
"359",507
"360",493
"361",514
"362",454
"363",506
"364",469
"365",509
"366",482
"367",444
"368",502
"369",505
"370",506
"371",485
"372",513
"373",496
"374",444
"375",505
"376",421
"377",474
"378",488
"379",493
"380",577
"381",514
"382",440
"383",417
"384",389
"385",366
"386",449
"387",518
"388",447
"389",466
"390",469
"391",493
"392",498
"393",500
"394",519
"395",489
"396",518
"397",499
"398",454
"399",488
"400",486
"401",457
"402",473
"403",528
"404",513
"405",546
"406",558
"407",521
"408",553
"409",534
"410",440
"411",484
"412",498
"413",518
"414",476
"415",515
"416",551
"417",526
"418",521
"419",539
"420",523
"421",454
"422",413
"423",384
"424",356
"425",397
"426",420
"427",535
"428",587
"429",522
"430",558
"431",454
"432",567
"433",552
"434",502
"435",557
"436",533
"437",510
"438",517
"439",572
"440",537
"441",543
"442",532
"443",533
"444",500
"445",531
"446",466
"447",526
"448",550
"449",567
"450",568
"451",572
"452",588
"453",574
"454",613
"455",600
"456",591
"457",582
"458",556
"459",607
"460",628
"461",652
"462",646
"463",643
"464",649
"465",643
"466",644
"467",627
"468",590
"469",637
"470",563
"471",634
"472",605
"473",619
"474",595
"475",625
"476",657
