"","x"
"1",47730
"2",46704
"3",41535
"4",41319
"5",36962
"6",32558
"7",31995
"8",32993
"9",44834
"10",29883
"11",39611
"12",40099
"13",38051
"14",36927
"15",37272
"16",39457
"17",38097
"18",40226
"19",43589
"20",39088
"21",39409
"22",37226
"23",34421
"24",34975
"25",32710
"26",31885
"27",32106
"28",30029
"29",29501
"30",31620
"31",34205
"32",32153
"33",32764
"34",33230
"35",35636
"36",35550
"37",34529
"38",37498
"39",37229
"40",36021
"41",38281
"42",36676
"43",44541
"44",40850
"45",38404
"46",37575
"47",41476
"48",42267
"49",43062
"50",45036
"51",43769
"52",42298
"53",44412
"54",40498
"55",37830
"56",42294
"57",38330
"58",43554
"59",42579
"60",36911
"61",42541
"62",42430
"63",43465
"64",44468
"65",43597
"66",40774
"67",42573
"68",41635
"69",39030
"70",41572
"71",37027
"72",34732
"73",36817
"74",34295
"75",33218
"76",32034
"77",31417
"78",35719
"79",30001
"80",33096
"81",35196
"82",36550
"83",33463
"84",37195
"85",34748
"86",36461
"87",35754
"88",36943
"89",35854
"90",37912
"91",30095
"92",28931
"93",31020
"94",31746
"95",34613
"96",37901
