"","x"
"1",1254
"2",1290
"3",1379
"4",1346
"5",1535
"6",1555
"7",1655
"8",1651
"9",1500
"10",1538
"11",1486
"12",1394
"13",1409
"14",1387
"15",1543
"16",1502
"17",1693
"18",1616
"19",1841
"20",1787
"21",1631
"22",1649
"23",1586
"24",1500
"25",1497
"26",1463
"27",1648
"28",1595
"29",1777
"30",1824
"31",1994
"32",1835
"33",1787
"34",1699
"35",1633
"36",1645
"37",1597
"38",1577
"39",1709
"40",1756
"41",1936
"42",2052
"43",2105
"44",2016
"45",1914
"46",1925
"47",1824
"48",1765
"49",1721
"50",1752
"51",1914
"52",1857
"53",2159
"54",2195
"55",2287
"56",2276
"57",2096
"58",2055
"59",2004
"60",1924
"61",1851
"62",1839
"63",2019
"64",1937
"65",2270
"66",2251
"67",2382
"68",2364
"69",2129
"70",2110
"71",2072
"72",1980
"73",1995
"74",1932
"75",2171
"76",2162
"77",2489
"78",2424
"79",2641
"80",2630
"81",2324
"82",2412
"83",2284
"84",2186
"85",2184
"86",2144
"87",2379
"88",2383
"89",2717
"90",2774
"91",3051
"92",2891
"93",2613
"94",2600
"95",2493
"96",2410
"97",2390
"98",2463
"99",2616
"100",2734
"101",2970
"102",3125
"103",3342
"104",3207
"105",2964
"106",2919
"107",2764
"108",2732
"109",2622
"110",2698
"111",2950
"112",2895
"113",3200
"114",3408
"115",3679
"116",3473
"117",3154
"118",3107
"119",3052
"120",2918
"121",2786
"122",2739
"123",3125
"124",3033
"125",3486
"126",3661
"127",3927
"128",3851
"129",3456
"130",3390
"131",3280
"132",3166
"133",3080
"134",3069
"135",3340
"136",3310
"137",3798
"138",3883
"139",4191
"140",4213
"141",3766
"142",3628
"143",3520
"144",3322
"145",3250
"146",3287
"147",3552
"148",3440
"149",4153
"150",4265
"151",4655
"152",4492
"153",4051
"154",3967
"155",3807
"156",3639
"157",3647
"158",3560
"159",3929
"160",3858
"161",4485
"162",4697
"163",4977
"164",4675
"165",4596
"166",4491
"167",4127
"168",4144
"169",4014
"170",3994
"171",4320
"172",4400
"173",5002
"174",5091
"175",5471
"176",5193
"177",4997
"178",4737
"179",4546
"180",4498
"181",4350
"182",4206
"183",4743
"184",4582
"185",5191
"186",5457
"187",5891
"188",5618
"189",5158
"190",5030
"191",4800
"192",4654
"193",4453
"194",4440
"195",4945
"196",4788
"197",5425
"198",5706
"199",6061
"200",5846
"201",5242
"202",5408
"203",5114
"204",5042
"205",5008
"206",4657
"207",5359
"208",5193
"209",5891
"210",5980
"211",6390
"212",6366
"213",5756
"214",5640
"215",5429
"216",5398
"217",5413
"218",5141
"219",5695
"220",5554
"221",6369
"222",6592
"223",7107
"224",6917
"225",6353
"226",6205
"227",5830
"228",5646
"229",5379
"230",5489
"231",5824
"232",5907
"233",6482
"234",6795
"235",7028
"236",6776
"237",6274
"238",6362
"239",5940
"240",5958
"241",5769
"242",5887
"243",6367
"244",6165
"245",6868
"246",7201
"247",7601
"248",7581
"249",7090
"250",6841
"251",6408
"252",6435
"253",6176
"254",6138
"255",6717
"256",6470
"257",7312
"258",7763
"259",8171
"260",7788
"261",7311
"262",6679
"263",6704
"264",6724
"265",6552
"266",6427
"267",7105
"268",6869
"269",7683
"270",8082
"271",8555
"272",8386
"273",7553
"274",7398
"275",7112
"276",6886
"277",7077
"278",6820
"279",7426
"280",7143
"281",8261
"282",8240
"283",8977
"284",8991
"285",8026
"286",7911
"287",7510
"288",7381
"289",7366
"290",7414
"291",7824
"292",7524
"293",8279
"294",8707
"295",9486
"296",8973
"297",8231
"298",8206
"299",7927
"300",7999
"301",7834
"302",7521
"303",8284
"304",7999
"305",8940
"306",9381
"307",10078
"308",9796
"309",8471
"310",8572
"311",8150
"312",8168
"313",8166
"314",7903
"315",8606
"316",8071
"317",9178
"318",9873
"319",10476
"320",9296
"321",8818
"322",8697
"323",8381
"324",8293
"325",7942
"326",8001
"327",8744
"328",8397
"329",9115
"330",9773
"331",10358
"332",9849
"333",9083
"334",9143
"335",8800
"336",8741
"337",8492
