"","x"
"1",137
"2",154
"3",174
"4",171
"5",183
"6",178
"7",182
"8",200
"9",179
"10",206
"11",194
"12",170
"13",153
"14",174
"15",202
"16",200
"17",206
"18",198
"19",210
"20",204
"21",189
"22",205
"23",204
"24",173
"25",170
"26",181
"27",203
"28",199
"29",212
"30",209
"31",212
"32",218
"33",216
"34",228
"35",213
"36",196
"37",162
"38",193
"39",218
"40",221
"41",236
"42",216
"43",227
"44",233
"45",230
"46",231
"47",229
"48",221
"49",174
"50",215
"51",232
"52",225
"53",235
"54",238
"55",247
"56",249
"57",257
"58",256
"59",251
"60",221
"61",196
"62",232
"63",260
"64",235
"65",255
"66",247
"67",286
"68",253
"69",243
"70",249
"71",233
"72",210
"73",179
"74",210
"75",248
"76",241
"77",258
"78",258
"79",273
"80",258
"81",252
"82",266
"83",272
"84",219
"85",161
"86",236
"87",277
"88",249
"89",266
"90",219
"91",268
"92",297
"93",270
"94",301
"95",281
"96",256
"97",215
"98",272
"99",310
"100",303
"101",304
"102",297
"103",298
"104",326
"105",325
"106",345
"107",330
"108",300
"109",244
"110",293
"111",365
"112",321
"113",338
"114",315
"115",328
"116",327
"117",314
"118",338
"119",318
"120",311
"121",258
"122",281
"123",310
"124",315
"125",337
"126",309
"127",320
"128",325
"129",321
"130",323
"131",320
"132",279
"133",227
"134",296
"135",313
"136",316
"137",360
"138",322
"139",341
"140",346
"141",338
"142",360
"143",329
"144",282
"145",241
"146",317
"147",334
"148",301
"149",353
"150",319
"151",346
"152",350
"153",351
"154",372
"155",355
"156",290
"157",257
"158",325
"159",366
"160",321
"161",371
"162",340
"163",391
"164",407
"165",392
"166",403
"167",399
"168",334
"169",304
"170",361
"171",384
"172",377
"173",372
"174",385
"175",425
"176",407
"177",397
"178",422
"179",424
"180",342
"181",309
"182",341
"183",408
"184",376
"185",424
"186",409
"187",423
"188",374
"189",402
"190",443
"191",437
"192",373
"193",292
"194",349
"195",429
"196",418
"197",435
"198",429
"199",433
"200",442
"201",428
"202",443
"203",461
"204",377
"205",313
"206",375
"207",460
"208",400
"209",469
"210",436
"211",478
"212",419
"213",445
"214",516
"215",494
"216",442
"217",300
"218",416
"219",468
"220",434
"221",468
"222",450
"223",399
"224",450
"225",467
"226",485
"227",446
"228",422
"229",305
"230",401
"231",415
"232",413
"233",460
"234",424
"235",439
"236",429
"237",450
"238",443
"239",449
"240",389
"241",255
"242",416
"243",438
"244",431
"245",454
"246",414
"247",470
"248",439
"249",432
"250",443
"251",436
"252",411
"253",282
"254",409
"255",410
"256",434
"257",421
"258",429
"259",461
"260",430
"261",430
"262",432
"263",472
"264",413
"265",278
"266",421
"267",423
"268",421
"269",432
"270",408
"271",397
"272",438
"273",477
"274",436
"275",455
"276",407
"277",295
"278",429
"279",478
"280",389
"281",456
"282",457
"283",468
"284",453
"285",456
"286",461
"287",476
"288",422
"289",309
"290",474
"291",449
"292",448
"293",481
"294",457
"295",495
"296",502
"297",443
"298",479
"299",512
"300",448
"301",312
"302",447
"303",523
"304",538
"305",576
"306",459
"307",485
"308",570
"309",478
"310",623
"311",529
"312",499
"313",351
"314",467
"315",529
"316",523
"317",555
"318",497
"319",539
"320",473
"321",463
"322",479
"323",458
"324",420
"325",268
"326",389
"327",429
"328",348
"329",389
"330",421
"331",410
"332",419
"333",450
"334",433
"335",446
"336",434
"337",244
"338",451
"339",471
"340",408
"341",503
"342",462
"343",482
"344",503
"345",471
"346",488
"347",553
"348",455
"349",330
"350",444
"351",477
"352",447
"353",529
"354",480
"355",514
"356",594
"357",523
"358",570
"359",527
"360",457
"361",336
"362",503
"363",508
"364",516
"365",513
"366",487
"367",537
"368",488
"369",521
"370",546
"371",529
"372",489
"373",347
"374",482
"375",504
"376",490
"377",499
"378",469
"379",505
"380",485
"381",509
"382",556
"383",525
"384",532
"385",362
"386",509
"387",545
"388",500
"389",538
"390",587
"391",556
"392",604
"393",610
"394",584
"395",613
"396",594
"397",415
"398",586
"399",621
"400",529
"401",595
"402",595
"403",641
"404",678
"405",653
"406",659
"407",686
"408",548
"409",431
"410",520
"411",624
"412",449
"413",608
"414",587
"415",549
"416",565
"417",544
"418",584
"419",576
"420",508
"421",350
"422",470
"423",523
"424",471
"425",534
"426",436
"427",495
"428",486
"429",463
"430",535
"431",532
"432",430
"433",370
"434",450
"435",487
"436",484
"437",504
"438",513
"439",526
"440",539
"441",473
"442",519
"443",552
"444",498
"445",404
"446",510
"447",536
"448",508
"449",605
"450",546
"451",558
"452",572
"453",518
"454",594
"455",644
"456",539
"457",407
"458",497
"459",564
"460",515
"461",625
"462",592
"463",659
"464",661
"465",642
"466",614
"467",615
"468",604
"469",455
"470",552
"471",619
"472",538
"473",583
"474",582
"475",568
"476",586
