"","x"
"1",196.9
"2",192.1
"3",201.8
"4",186.9
"5",218
"6",214.4
"7",227.5
"8",204.1
"9",225.8
"10",223.7
"11",244.7
"12",243.9
"13",257.3
"14",234.5
"15",251.4
"16",243.8
"17",247.4
"18",245.3
"19",262.5
"20",270
"21",259.9
"22",262.2
"23",244.9
"24",249.3
"25",268.2
"26",231.2
"27",264.3
"28",252.7
"29",275.5
"30",261.5
"31",275.5
"32",272.3
"33",268.6
"34",270.4
"35",267.7
"36",275
"37",272.6
"38",248.6
"39",279.4
"40",270.5
"41",292.8
"42",297.8
"43",296.8
"44",290.9
"45",282.8
"46",312.8
"47",303.2
"48",301.4
"49",289.8
"50",279.6
"51",302.2
"52",299.1
"53",319.7
"54",310.9
"55",315.2
"56",338.5
"57",315.6
"58",321.2
"59",318.5
"60",342.7
"61",261.4
"62",287
"63",331.5
"64",326.9
"65",338.6
"66",337
"67",358.4
"68",344.5
"69",345.7
"70",344.1
"71",317.4
"72",354.5
"73",345.2
"74",314.1
"75",352.5
"76",361.2
"77",365.9
"78",332.5
"79",364
"80",359.1
"81",345.6
"82",366.9
"83",370.2
"84",359.9
"85",366.6
"86",336.3
"87",368.5
"88",374.2
"89",384.3
"90",358.9
"91",407.7
"92",433.3
"93",404.7
"94",392.7
"95",409.7
"96",416.5
"97",414.3
"98",404.3
"99",421.4
"100",372.6
"101",404.7
"102",420.2
"103",438.4
"104",449.1
"105",445.8
"106",413.8
"107",420.5
"108",442.3
"109",438.9
"110",394.5
"111",416.8
"112",402.9
"113",424.5
"114",432.3
"115",484.1
"116",492.7
"117",496.3
"118",471.9
"119",491.2
"120",512.9
"121",482.4
"122",407.9
"123",448.5
"124",431.1
"125",498.8
"126",497.1
"127",517.1
"128",487.7
"129",512.5
"130",550.1
"131",532.5
"132",524.1
"133",515.7
"134",461
"135",529.3
"136",467.4
"137",559.8
"138",536.5
"139",531.9
"140",546.5
"141",547.4
"142",536.1
"143",482.8
"144",551
"145",532.9
"146",484.1
"147",554.8
"148",537
"149",558
"150",511.4
"151",502.9
"152",558.6
"153",545.1
"154",574.3
"155",542.2
"156",600
"157",588.6
"158",524.4
"159",618.5
"160",580.9
"161",557.2
"162",571.2
"163",597.5
"164",601.7
"165",558.9
"166",600.9
"167",601
"168",615.7
"169",578.1
"170",495.9
"171",526.8
"172",522.1
"173",605.1
"174",574.4
"175",609.7
"176",580.7
"177",565.1
"178",590.7
"179",571.5
"180",601.3
"181",567.3
"182",467.9
"183",588.9
"184",579.4
"185",502.6
"186",568.7
"187",616
"188",586.2
"189",575.5
"190",599.9
"191",568.2
"192",516
"193",493.4
"194",496.8
"195",529.9
"196",491.7
"197",543.2
"198",490.8
"199",554.7
"200",625.7
"201",605
"202",645.2
"203",645.2
"204",611.8
"205",600.3
"206",549.8
"207",635.5
"208",617.7
"209",643.5
"210",485.7
"211",689.5
"212",692
"213",677.3
"214",704.7
"215",668.6
"216",717.8
"217",689.8
"218",640.4
"219",675.2
"220",528.1
"221",538
"222",527.2
"223",655.6
"224",650.6
"225",623.7
"226",748.4
"227",727.4
"228",750.5
"229",678.9
"230",659.5
"231",691.9
"232",639.8
"233",663.8
"234",572.9
"235",592.5
"236",734.8
"237",696.1
"238",589.2
"239",662.9
"240",661.2
"241",672.1
"242",583.7
"243",705.5
"244",631
"245",733.3
"246",674.9
"247",695.5
"248",634.1
"249",630.6
"250",635.2
"251",554.1
"252",623.9
"253",679.3
"254",565.6
"255",564.1
"256",637.2
"257",650.8
"258",602.7
"259",587.5
"260",619.2
"261",616.5
"262",637.9
"263",557.9
"264",594
"265",668.7
"266",603.3
"267",674.5
"268",573.4
"269",706
"270",693.7
"271",627.5
"272",550.7
"273",592.3
"274",660.2
"275",597.3
"276",641
"277",663.6
"278",595.9
"279",638.4
"280",665.4
"281",671.4
"282",637
"283",685.7
"284",705.8
"285",704.8
