"","x"
"1",179
"2",183
"3",178
"4",176
"5",204
"6",179
"7",193
"8",175
"9",184
"10",188
"11",202
"12",187
"13",197
"14",194
"15",217
"16",198
"17",210
"18",198
"19",230
"20",225
"21",214
"22",212
"23",214
"24",204
"25",196
"26",190
"27",215
"28",203
"29",232
"30",220
"31",244
"32",242
"33",241
"34",244
"35",245
"36",240
"37",247
"38",225
"39",223
"40",241
"41",248
"42",240
"43",249
"44",263
"45",253
"46",259
"47",253
"48",258
"49",254
"50",248
"51",265
"52",252
"53",276
"54",260
"55",273
"56",298
"57",270
"58",272
"59",267
"60",288
"61",227
"62",250
"63",278
"64",272
"65",288
"66",275
"67",282
"68",301
"69",287
"70",269
"71",271
"72",273
"73",293
"74",277
"75",304
"76",274
"77",311
"78",284
"79",330
"80",325
"81",304
"82",273
"83",320
"84",319
"85",314
"86",293
"87",320
"88",316
"89",331
"90",322
"91",340
"92",363
"93",328
"94",339
"95",349
"96",355
"97",345
"98",333
"99",343
"100",345
"101",369
"102",363
"103",374
"104",381
"105",388
"106",370
"107",374
"108",396
"109",402
"110",371
"111",399
"112",368
"113",387
"114",359
"115",427
"116",422
"117",432
"118",417
"119",447
"120",430
"121",409
"122",370
"123",388
"124",374
"125",426
"126",430
"127",452
"128",423
"129",458
"130",472
"131",448
"132",453
"133",434
"134",427
"135",449
"136",399
"137",471
"138",457
"139",476
"140",474
"141",474
"142",481
"143",439
"144",464
"145",463
"146",423
"147",478
"148",455
"149",487
"150",452
"151",479
"152",489
"153",468
"154",502
"155",472
"156",511
"157",495
"158",449
"159",525
"160",498
"161",502
"162",483
"163",539
"164",539
"165",447
"166",521
"167",523
"168",526
"169",495
"170",431
"171",446
"172",449
"173",497
"174",481
"175",536
"176",499
"177",472
"178",488
"179",496
"180",486
"181",495
"182",414
"183",491
"184",478
"185",431
"186",481
"187",533
"188",492
"189",490
"190",509
"191",482
"192",411
"193",426
"194",433
"195",358
"196",434
"197",503
"198",440
"199",513
"200",529
"201",523
"202",521
"203",555
"204",488
"205",504
"206",494
"207",547
"208",523
"209",526
"210",427
"211",591
"212",560
"213",587
"214",553
"215",565
"216",542
"217",580
"218",507
"219",537
"220",477
"221",504
"222",489
"223",445
"224",539
"225",587
"226",601
"227",619
"228",594
"229",520
"230",493
"231",447
"232",443
"233",483
"234",444
"235",441
"236",518
"237",496
"238",397
"239",489
"240",477
"241",493
"242",433
"243",505
"244",372
"245",455
"246",487
"247",494
"248",478
"249",462
"250",501
"251",458
"252",505
"253",483
"254",391
"255",517
"256",569
"257",597
"258",573
"259",535
"260",549
"261",582
"262",587
"263",483
"264",524
"265",583
"266",522
"267",550
"268",475
"269",547
"270",581
"271",618
"272",542
"273",565
"274",576
"275",516
"276",571
"277",572
"278",486
"279",573
"280",529
"281",543
"282",537
"283",530
"284",576
"285",602
"286",585
"287",524
"288",603
"289",579
"290",508
"291",569
"292",432
"293",375
"294",450
"295",582
"296",536
"297",494
"298",486
"299",471
"300",502
"301",566
"302",493
"303",525
"304",517
"305",532
"306",482
"307",537
"308",562
"309",420
"310",461
"311",391
"312",409
"313",473
"314",382
"315",468
"316",440
"317",472
"318",434
"319",448
"320",370
"321",258
"322",240
"323",297
"324",294
"325",231
"326",243
"327",285
"328",277
"329",317
"330",323
"331",351
"332",338
"333",323
"334",332
"335",332
"336",317
"337",343
"338",307
"339",343
"340",283
"341",287
"342",333
"343",347
"344",332
"345",352
"346",320
"347",308
"348",342
"349",332
"350",290
"351",342
"352",312
"353",353
"354",362
"355",405
"356",381
"357",381
"358",394
"359",376
"360",388
"361",388
"362",316
"363",353
"364",355
"365",349
"366",360
"367",329
"368",375
"369",384
"370",350
"371",339
"372",338
"373",314
"374",247
"375",267
"376",235
"377",248
"378",244
"379",237
"380",233
"381",236
"382",222
"383",192
"384",202
"385",192
"386",207
"387",250
"388",239
"389",237
"390",214
"391",209
"392",220
"393",217
"394",251
"395",241
"396",239
"397",187
"398",201
"399",217
"400",221
"401",187
"402",188
"403",221
"404",222
"405",231
"406",236
"407",194
"408",200
"409",190
"410",136
"411",198
"412",211
"413",188
"414",213
"415",230
"416",228
"417",227
"418",209
"419",187
"420",217
"421",199
"422",182
"423",228
"424",197
"425",221
"426",197
"427",214
"428",222
"429",217
"430",208
"431",178
"432",203
"433",210
"434",182
"435",219
"436",202
"437",209
"438",231
"439",235
"440",232
"441",211
"442",222
"443",207
"444",160
"445",179
"446",161
"447",174
"448",171
"449",150
"450",143
"451",133
"452",138
"453",139
"454",137
"455",137
"456",126
"457",92
"458",129
"459",135
"460",143
"461",141
