"","x"
"1",2953
"2",2635
"3",2404
"4",2413
"5",2136
"6",1565
"7",1451
"8",2037
"9",2477
"10",2785
"11",2994
"12",2681
"13",3098
"14",2708
"15",2517
"16",2445
"17",2087
"18",1801
"19",1216
"20",2173
"21",2286
"22",3121
"23",3458
"24",3511
"25",3524
"26",2767
"27",2744
"28",2603
"29",2527
"30",1846
"31",1066
"32",2327
"33",3066
"34",3048
"35",3806
"36",4042
"37",3583
"38",3438
"39",2957
"40",2885
"41",2744
"42",1837
"43",1447
"44",2504
"45",3248
"46",3098
"47",4318
"48",3561
"49",3316
"50",3379
"51",2717
"52",2354
"53",2445
"54",1542
"55",1606
"56",2590
"57",3588
"58",3202
"59",4704
"60",4005
"61",3810
"62",3488
"63",2781
"64",2944
"65",2817
"66",1960
"67",1937
"68",2903
"69",3357
"70",3552
"71",4581
"72",3905
"73",4581
"74",4037
"75",3345
"76",3175
"77",2808
"78",2050
"79",1719
"80",3143
"81",3756
"82",4776
"83",4540
"84",4309
"85",4563
"86",3506
"87",3665
"88",3361
"89",3094
"90",2440
"91",1633
"92",2935
"93",4159
"94",4159
"95",4894
"96",4921
"97",4577
"98",4155
"99",3851
"100",3429
"101",3370
"102",2726
"103",1674
"104",3257
"105",4731
"106",4481
"107",5443
"108",5566
"109",5044
"110",4781
"111",4014
"112",3561
"113",3801
"114",2685
"115",1805
"116",3756
"117",4227
"118",4595
"119",5702
"120",4681
"121",4395
"122",4459
"123",4191
"124",3742
"125",3279
"126",2468
"127",1742
"128",3366
"129",3633
"130",3701
"131",4926
"132",4522
"133",5275
"134",4717
"135",4114
"136",3851
"137",3493
"138",2654
"139",2168
"140",3561
"141",4305
"142",4413
"143",5307
"144",5361
"145",4948
"146",4472
"147",3846
"148",3715
"149",3343
"150",2939
"151",1615
"152",3497
"153",3915
"154",4858
"155",4962
"156",4504
"157",4767
"158",4291
"159",4091
"160",4164
"161",3915
"162",3130
"163",1696
"164",3887
"165",4749
"166",4781
"167",5089
"168",5484
"169",5072
"170",4611
"171",4117
"172",3910
"173",4252
"174",3624
"175",1678
"176",3851
"177",5021
"178",4581
"179",6195
"180",5338
"181",4909
"182",4640
"183",3706
"184",4113
"185",3879
"186",3411
"187",2043
"188",3736
"189",4490
"190",3715
"191",5623
"192",4671
"193",5591
"194",5461
"195",4795
"196",4846
"197",4843
"198",3278
"199",2411
"200",4278
"201",4639
"202",4559
"203",6404
"204",4851
"205",6480
"206",6394
"207",5752
"208",4718
"209",4659
"210",3842
"211",2873
"212",5556
"213",5389
"214",6135
"215",6707
"216",5220
"217",6249
"218",5281
"219",4192
"220",4867
"221",3752
"222",3492
"223",1979
"224",4584
"225",5139
"226",5044
"227",5501
"228",5044
"229",5035
"230",5167
"231",4650
"232",5298
"233",4373
"234",3941
"235",2334
"236",4381
"237",5665
"238",4393
"239",5232
"240",5876
"241",5900
"242",5704
"243",4718
"244",4650
"245",4446
"246",3061
"247",2155
"248",4274
"249",4695
"250",4362
"251",4889
"252",5370
"253",5072
"254",4985
"255",3978
"256",4139
"257",3995
"258",3025
"259",1949
"260",4357
"261",4638
"262",3994
"263",6174
"264",5656
"265",4411
"266",5504
"267",4463
"268",4458
"269",4528
"270",2830
"271",1843
"272",5042
"273",5348
"274",5257
"275",6699
"276",5388
"277",6001
"278",5966
"279",4845
"280",4507
"281",4214
"282",3460
"283",1833
"284",4978
"285",6464
"286",5820
"287",6447
"288",6191
"289",6628
"290",5452
"291",5295
"292",5080
"293",5564
"294",3965
"295",2062
"296",5099
"297",6162
"298",5529
"299",6416
"300",6382
"301",5624
"302",5785
"303",4644
"304",5331
"305",5143
"306",4596
"307",2180
"308",5786
"309",5840
"310",5666
"311",6360
"312",6219
"313",6082
"314",5653
"315",5726
"316",5049
"317",5859
"318",4091
"319",2167
"320",6480
"321",7375
"322",6583
"323",7251
"324",6730
"325",6428
"326",5228
"327",4716
"328",6101
"329",5753
"330",4000
"331",2691
"332",5898
"333",6526
"334",5840
"335",6650
"336",5717
"337",7236
"338",6523
"339",5729
"340",6004
"341",5950
"342",4690
"343",3687
"344",7791
"345",7153
"346",6434
"347",7850
"348",6809
"349",8379
"350",6914
"351",6919
"352",7265
"353",6994
"354",5503
"355",3782
"356",7502
"357",8119
"358",7292
"359",6886
"360",7049
"361",7977
"362",8519
"363",6680
"364",7994
"365",7047
"366",5782
"367",3771
"368",7906
"369",8970
"370",6077
"371",7919
"372",7340
"373",7807
"374",7382
"375",8269
"376",7820
"377",7483
"378",6700
"379",4487
"380",8288
"381",8872
"382",8580
"383",9185
"384",8651
"385",8394
"386",9709
"387",7123
"388",9226
"389",8336
"390",7161
"391",3878
"392",7314
"393",8753
"394",7721
"395",8964
"396",7355
"397",7645
"398",8853
"399",8536
"400",9212
"401",8503
"402",7170
"403",3259
"404",8569
"405",9340
"406",7251
"407",8077
"408",8213
"409",8093
"410",10045
"411",7881
"412",8409
"413",8162
"414",8086
"415",4534
"416",7356
"417",8709
"418",8191
"419",8279
"420",8064
"421",9873
"422",9655
"423",9189
"424",9149
"425",8909
"426",8080
"427",5004
"428",8502
"429",9462
"430",8173
"431",9193
"432",9211
"433",8713
"434",10643
"435",9304
"436",10379
"437",10504
"438",9547
"439",8390
"440",9405
"441",9561
"442",7417
"443",8621
"444",9145
"445",8858
"446",10748
"447",10552
"448",9827
"449",10402
"450",9503
"451",5853
"452",9334
"453",9875
"454",6495
"455",8668
"456",9685
"457",10109
"458",11095
