"","x"
"1",53
"2",68
"3",68
"4",66
"5",72
"6",66
"7",70
"8",72
"9",66
"10",74
"11",71
"12",52
"13",51
"14",66
"15",70
"16",68
"17",78
"18",68
"19",77
"20",75
"21",75
"22",82
"23",79
"24",62
"25",56
"26",69
"27",74
"28",72
"29",82
"30",75
"31",86
"32",78
"33",85
"34",84
"35",78
"36",72
"37",53
"38",75
"39",80
"40",83
"41",85
"42",85
"43",88
"44",86
"45",93
"46",91
"47",85
"48",79
"49",57
"50",86
"51",99
"52",82
"53",95
"54",91
"55",91
"56",101
"57",98
"58",96
"59",102
"60",79
"61",64
"62",85
"63",92
"64",76
"65",93
"66",84
"67",86
"68",93
"69",86
"70",87
"71",84
"72",65
"73",55
"74",81
"75",93
"76",80
"77",97
"78",88
"79",95
"80",94
"81",86
"82",95
"83",95
"84",68
"85",60
"86",84
"87",87
"88",84
"89",93
"90",86
"91",103
"92",104
"93",101
"94",115
"95",110
"96",88
"97",80
"98",107
"99",106
"100",111
"101",111
"102",106
"103",118
"104",111
"105",120
"106",120
"107",116
"108",104
"109",78
"110",106
"111",125
"112",113
"113",117
"114",119
"115",120
"116",123
"117",123
"118",119
"119",123
"120",98
"121",73
"122",107
"123",122
"124",108
"125",122
"126",120
"127",117
"128",124
"129",121
"130",117
"131",123
"132",97
"133",99
"134",110
"135",117
"136",113
"137",129
"138",116
"139",115
"140",124
"141",120
"142",123
"143",128
"144",106
"145",91
"146",122
"147",128
"148",121
"149",137
"150",122
"151",138
"152",134
"153",132
"154",145
"155",142
"156",122
"157",106
"158",136
"159",141
"160",138
"161",144
"162",135
"163",156
"164",147
"165",151
"166",156
"167",141
"168",131
"169",105
"170",141
"171",140
"172",142
"173",144
"174",142
"175",142
"176",141
"177",151
"178",142
"179",146
"180",129
"181",100
"182",132
"183",153
"184",135
"185",147
"186",151
"187",151
"188",155
"189",147
"190",149
"191",157
"192",130
"193",97
"194",147
"195",155
"196",139
"197",167
"198",155
"199",147
"200",162
"201",167
"202",166
"203",168
"204",143
"205",132
"206",151
"207",169
"208",145
"209",154
"210",162
"211",178
"212",185
"213",171
"214",183
"215",178
"216",155
"217",140
"218",165
"219",173
"220",169
"221",189
"222",168
"223",189
"224",167
"225",162
"226",155
"227",143
"228",119
"229",78
"230",129
"231",133
"232",142
"233",152
"234",143
"235",153
"236",149
"237",157
"238",162
"239",148
"240",139
"241",95
"242",156
"243",173
"244",161
"245",167
"246",173
"247",176
"248",183
"249",181
"250",183
"251",193
"252",157
"253",108
"254",168
"255",181
"256",163
"257",175
"258",175
"259",171
"260",183
"261",168
"262",161
"263",173
"264",144
"265",101
"266",156
"267",164
"268",151
"269",171
"270",165
"271",149
"272",162
"273",159
"274",167
"275",172
"276",143
"277",117
"278",158
"279",183
"280",164
"281",190
"282",172
"283",188
"284",201
"285",184
"286",200
"287",202
"288",161
"289",137
"290",185
"291",191
"292",176
"293",189
"294",186
"295",205
"296",188
"297",196
"298",202
"299",187
"300",175
"301",133
"302",179
"303",207
"304",189
"305",195
"306",197
"307",194
"308",189
"309",198
"310",201
"311",193
"312",184
"313",127
"314",171
"315",202
"316",183
"317",189
"318",188
"319",178
"320",170
"321",164
"322",149
"323",156
"324",107
"325",47
"326",111
"327",145
"328",138
"329",138
"330",133
"331",137
"332",142
"333",141
"334",141
"335",147
"336",125
"337",91
"338",149
"339",160
"340",145
"341",168
"342",156
"343",163
"344",165
"345",154
"346",180
"347",169
"348",135
"349",118
"350",158
"351",171
"352",168
"353",177
"354",162
"355",189
"356",174
"357",170
"358",184
"359",173
"360",146
"361",117
"362",160
"363",166
"364",169
"365",172
"366",162
"367",173
"368",160
"369",172
"370",164
"371",145
"372",134
"373",99
"374",144
"375",172
"376",153
"377",161
"378",171
"379",164
"380",158
"381",173
"382",159
"383",152
"384",147
"385",89
"386",151
"387",187
"388",151
"389",192
"390",176
"391",175
"392",199
"393",181
"394",178
"395",197
"396",164
"397",155
"398",176
"399",180
"400",181
"401",208
"402",183
"403",185
"404",205
"405",180
"406",196
"407",183
"408",147
"409",128
"410",158
"411",186
"412",165
"413",191
"414",168
"415",171
"416",169
"417",157
"418",175
"419",156
"420",129
"421",89
"422",138
"423",146
"424",151
"425",156
"426",129
"427",146
"428",141
"429",137
"430",155
"431",147
"432",128
"433",92
"434",136
"435",159
"436",131
"437",134
"438",148
"439",146
"440",144
"441",161
"442",140
"443",141
"444",139
"445",94
"446",136
"447",164
"448",141
"449",159
"450",162
"451",154
"452",166
"453",156
"454",147
"455",161
"456",135
"457",98
"458",150
"459",173
"460",144
"461",167
"462",161
"463",156
"464",175
"465",163
"466",159
"467",167
"468",148
"469",119
"470",150
"471",161
"472",136
"473",166
"474",155
"475",140
"476",141
