"","x"
"1",5518
"2",6627
"3",6544
"4",6190
"5",6948
"6",5095
"7",6346
"8",5980
"9",5001
"10",6023
"11",6984
"12",6538
"13",7022
"14",7148
"15",6530
"16",6472
"17",6988
"18",5328
"19",5021
"20",5480
"21",6459
"22",6550
"23",7495
"24",6948
"25",6163
"26",8220
"27",7385
"28",8082
"29",7476
"30",7510
"31",7545
"32",6706
"33",8297
"34",8483
"35",9211
"36",8924
"37",10141
"38",9949
"39",8868
"40",8833
"41",8518
"42",9438
"43",9663
"44",8645
"45",9291
"46",10546
"47",9677
"48",9879
"49",11342
"50",11525
"51",9874
"52",10039
"53",10188
"54",12930
"55",11187
"56",10965
"57",13165
"58",11094
"59",10274
"60",12847
"61",12369
"62",13734
"63",13941
"64",12808
"65",12141
"66",11709
"67",11438
"68",9760
"69",14359
"70",13220
"71",13964
"72",16916
"73",12362
"74",12988
"75",17257
"76",14885
"77",13984
"78",13598
"79",10401
"80",13719
"81",16748
"82",16465
"83",17181
"84",19196
"85",16147
"86",18462
"87",17913
"88",14745
"89",17779
"90",16056
"91",16981
"92",18761
"93",18124
"94",19592
"95",20374
"96",19733
"97",14432
"98",15734
"99",21232
"100",21716
"101",20289
"102",21727
"103",23121
"104",22323
"105",18790
"106",20496
"107",25648
"108",24323
"109",26960
"110",26398
"111",27107
"112",26295
"113",20110
"114",21439
"115",26292
"116",25754
"117",24158
"118",19959
"119",27298
"120",31306
"121",31970
"122",27334
"123",29583
"124",25169
"125",22814
"126",22215
"127",14823
"128",20273
"129",21476
"130",22119
"131",20983
"132",23069
"133",21038
"134",23621
"135",24089
"136",24656
"137",24753
"138",26615
"139",24299
"140",25976
"141",29267
"142",26996
"143",28240
"144",29641
"145",29264
"146",31284
"147",35138
"148",29645
"149",30469
"150",23524
"151",27428
"152",31671
"153",31968
"154",27813
"155",33491
"156",33476
"157",32424
"158",36741
"159",31266
"160",28531
"161",34762
"162",27650
"163",33541
"164",33312
"165",34698
"166",32966
"167",34711
"168",30944
"169",33751
"170",38438
"171",34784
"172",32830
"173",32556
"174",31707
"175",36391
"176",31517
"177",38888
"178",40961
"179",38816
"180",38197
"181",43318
"182",44671
"183",39142
"184",36026
"185",44223
"186",41873
"187",41012
"188",46020
"189",45887
"190",44063
"191",44907
"192",39657
"193",47703
"194",49489
"195",50546
"196",42593
"197",41385
"198",44740
"199",48396
"200",47230
"201",55972
"202",55125
"203",52674
"204",58947
"205",52611
"206",46712
"207",60832
"208",49686
"209",45193
"210",44786
"211",49425
"212",40704
"213",47744
"214",49783
"215",45214
"216",56927
"217",49367
"218",49248
"219",39392
"220",56436
"221",51659
"222",43676
"223",44321
"224",44296
"225",50910
"226",50362
"227",37810
"228",46677
"229",50286
"230",53305
"231",49555
"232",54227
"233",51064
"234",49780
"235",43323
"236",52181
"237",49761
"238",51081
"239",56394
"240",50318
"241",53582
"242",57966
"243",58343
"244",56070
"245",55641
"246",53406
"247",46060
"248",53234
"249",55602
"250",57162
"251",70044
"252",52431
"253",56810
"254",56748
"255",60517
"256",61646
"257",49306
"258",53612
"259",50344
"260",48732
"261",54436
"262",60599
"263",51672
"264",57960
"265",53199
"266",59513
"267",57314
"268",62702
"269",56547
"270",55088
"271",43807
"272",53345
"273",50421
"274",52397
"275",54264
"276",51994
"277",61554
"278",61929
"279",60622
"280",57385
"281",58180
"282",59325
"283",49786
"284",58986
"285",63532
"286",61028
"287",59747
"288",63580
"289",64809
"290",63665
"291",62569
"292",66130
"293",62309
"294",56369
"295",52409
"296",49214
"297",45393
"298",55901
"299",55290
"300",58713
