"","x"
"1",77
"2",82
"3",80
"4",78
"5",74
"6",68
"7",59
"8",67
"9",68
"10",70
"11",64
"12",61
"13",72
"14",83
"15",90
"16",87
"17",89
"18",80
"19",82
"20",89
"21",74
"22",73
"23",83
"24",78
"25",80
"26",83
"27",88
"28",91
"29",99
"30",84
"31",81
"32",97
"33",82
"34",77
"35",82
"36",68
"37",81
"38",79
"39",94
"40",91
"41",91
"42",78
"43",74
"44",84
"45",83
"46",86
"47",75
"48",85
"49",89
"50",91
"51",104
"52",109
"53",107
"54",100
"55",79
"56",90
"57",97
"58",87
"59",74
"60",92
"61",92
"62",97
"63",108
"64",113
"65",112
"66",99
"67",86
"68",93
"69",96
"70",85
"71",74
"72",86
"73",89
"74",106
"75",113
"76",115
"77",109
"78",103
"79",100
"80",99
"81",103
"82",103
"83",101
"84",103
"85",107
"86",111
"87",121
"88",120
"89",110
"90",103
"91",93
"92",110
"93",115
"94",118
"95",118
"96",121
"97",123
"98",123
"99",134
"100",131
"101",142
"102",143
"103",126
"104",124
"105",124
"106",139
"107",127
"108",141
"109",135
"110",136
"111",167
"112",151
"113",154
"114",137
"115",130
"116",134
"117",141
"118",149
"119",125
"120",151
"121",156
"122",151
"123",162
"124",172
"125",164
"126",170
"127",160
"128",155
"129",153
"130",169
"131",162
"132",160
"133",190
"134",167
"135",198
"136",181
"137",175
"138",154
"139",140
"140",160
"141",177
"142",164
"143",156
"144",165
"145",167
"146",168
"147",159
"148",174
"149",168
"150",128
"151",121
"152",152
"153",177
"154",168
"155",142
"156",167
"157",160
"158",170
"159",181
"160",171
"161",150
"162",126
"163",107
"164",139
"165",174
"166",163
"167",152
"168",176
"169",174
"170",150
"171",153
"172",133
"173",141
"174",114
"175",89
"176",129
"177",159
"178",148
"179",144
"180",146
"181",117
"182",156
"183",147
"184",148
"185",136
"186",91
"187",73
"188",144
"189",149
"190",155
"191",147
"192",134
"193",137
"194",133
"195",130
"196",185
"197",185
"198",178
"199",125
"200",148
"201",163
"202",195
"203",173
"204",202
"205",214
"206",199
"207",196
"208",212
"209",220
"210",218
"211",160
"212",201
"213",217
"214",167
"215",182
"216",197
"217",226
"218",226
"219",189
"220",228
"221",223
"222",214
"223",167
"224",160
"225",210
"226",208
"227",179
"228",201
"229",154
"230",140
"231",124
"232",94
"233",69
"234",63
"235",67
"236",73
"237",72
"238",73
"239",109
"240",113
"241",129
"242",135
"243",153
"244",161
"245",102
"246",107
"247",106
"248",105
"249",129
"250",134
"251",145
"252",166
"253",142
"254",139
"255",142
"256",165
"257",172
"258",177
"259",109
"260",104
"261",142
"262",135
"263",157
"264",158
"265",172
"266",160
"267",170
"268",189
"269",177
"270",147
"271",116
"272",112
"273",144
"274",154
"275",149
"276",171
"277",165
"278",162
"279",206
"280",195
"281",187
"282",161
"283",155
"284",152
"285",131
"286",179
"287",195
"288",186
"289",188
"290",190
"291",206
"292",214
"293",202
"294",177
"295",138
"296",143
"297",134
"298",138
"299",176
"300",169
"301",198
"302",162
"303",194
"304",181
"305",180
"306",151
"307",126
"308",159
"309",149
"310",161
"311",170
"312",189
"313",176
"314",176
"315",185
"316",182
"317",188
"318",165
"319",141
"320",126
"321",145
"322",133
"323",139
"324",160
"325",164
"326",154
"327",167
"328",150
"329",158
"330",144
"331",121
"332",121
"333",94
"334",118
"335",146
"336",169
"337",182
"338",150
"339",175
"340",172
"341",170
"342",106
"343",128
"344",135
"345",98
"346",121
"347",163
"348",168
"349",171
"350",156
"351",166
"352",155
"353",161
"354",152
"355",126
"356",136
"357",114
"358",156
"359",173
"360",186
"361",178
"362",144
"363",132
"364",156
"365",149
"366",138
"367",129
"368",115
"369",117
"370",121
"371",136
"372",130
"373",157
"374",148
"375",175
"376",156
"377",156
"378",135
"379",104
"380",97
"381",139
"382",145
"383",143
"384",179
"385",118
"386",163
"387",181
"388",177
"389",169
"390",171
"391",136
"392",148
"393",144
"394",138
"395",130
"396",189
"397",176
"398",156
"399",175
"400",169
"401",179
"402",138
"403",98
"404",105
"405",100
"406",101
"407",117
"408",138
"409",145
"410",144
"411",146
"412",132
"413",125
"414",113
"415",104
"416",96
"417",72
"418",72
"419",74
"420",92
"421",104
"422",84
"423",67
"424",75
"425",79
"426",66
"427",56
"428",51
"429",54
"430",71
"431",61
"432",68
"433",82
"434",81
"435",78
"436",67
"437",75
"438",69
"439",62
"440",52
"441",57
"442",70
"443",76
"444",88
"445",94
"446",69
"447",85
"448",68
"449",71
"450",75
"451",64
"452",42
"453",61
"454",67
"455",75
"456",83
"457",82
"458",71
"459",73
"460",75
"461",71
"462",69
