"","x"
"1",1834
"2",2010
"3",2328
"4",2220
"5",2286
"6",2203
"7",2235
"8",2272
"9",2126
"10",2113
"11",2294
"12",2253
"13",2248
"14",2310
"15",2228
"16",2178
"17",2403
"18",2219
"19",2265
"20",2281
"21",2184
"22",2238
"23",2340
"24",2187
"25",2154
"26",2279
"27",2287
"28",2359
"29",2430
"30",2344
"31",2208
"32",2411
"33",2327
"34",2408
"35",2277
"36",2410
"37",2452
"38",2339
"39",2256
"40",2299
"41",2170
"42",2288
"43",2279
"44",2224
"45",2412
"46",2342
"47",2301
"48",2278
"49",2574
"50",2154
"51",2336
"52",2501
"53",2271
"54",2434
"55",2361
"56",2316
"57",2513
"58",2475
"59",2460
"60",2467
"61",2823
"62",2555
"63",2441
"64",2478
"65",2449
"66",2373
"67",2402
"68",2373
"69",2330
"70",2455
"71",2361
"72",2443
"73",2420
"74",2269
"75",2312
"76",2671
"77",2347
"78",2457
"79",2377
"80",2186
"81",2277
"82",2308
"83",2327
"84",2426
"85",1247
"86",1963
"87",2635
"88",2150
"89",2888
"90",2491
"91",2513
"92",2679
"93",2627
"94",2739
"95",2471
"96",1733
"97",1393
"98",2036
"99",2285
"100",1813
"101",2784
"102",1959
"103",2372
"104",2445
"105",2228
"106",2377
"107",2009
"108",1561
"109",1251
"110",2097
"111",2115
"112",1987
"113",2239
"114",1901
"115",2177
"116",1816
"117",1547
"118",1694
"119",1444
"120",1097
"121",667
"122",1387
"123",1270
"124",1518
"125",1610
"126",1665
"127",1938
"128",1887
"129",2081
"130",2245
"131",1936
"132",1653
"133",849
"134",2081
"135",2310
"136",1755
"137",1842
"138",1861
"139",1826
"140",1809
"141",1870
"142",1791
"143",1815
"144",1396
"145",657
"146",1607
"147",1735
"148",1365
"149",1727
"150",1734
"151",1835
"152",1870
"153",1613
"154",1263
"155",2078
"156",1340
"157",771
"158",1871
"159",1800
"160",1694
"161",1858
"162",1753
"163",1767
"164",1877
"165",1822
"166",1760
"167",1864
"168",1371
"169",824
"170",1842
"171",1907
"172",1463
"173",1921
"174",1697
"175",2039
"176",1923
"177",1734
"178",2013
"179",1859
"180",1207
"181",778
"182",1810
"183",1785
"184",1696
"185",1782
"186",1508
"187",1870
"188",1755
"189",1716
"190",1820
"191",1669
"192",1311
"193",604
"194",1755
"195",1802
"196",1673
"197",1693
"198",1641
"199",1846
"200",1747
"201",1871
"202",1878
"203",1771
"204",1478
"205",664
"206",1668
"207",1908
"208",1638
"209",1744
"210",1956
"211",1732
"212",1710
"213",1687
"214",1709
"215",1578
"216",1150
"217",576
"218",1404
"219",1662
"220",1264
"221",1613
"222",1725
"223",1759
"224",1830
"225",1935
"226",1691
"227",1865
"228",1339
"229",657
"230",1800
"231",1923
"232",1373
"233",2127
"234",1686
"235",2168
"236",2055
"237",1857
"238",2063
"239",2080
"240",1445
"241",887
"242",2075
"243",2047
"244",1748
"245",2143
"246",1772
"247",2357
"248",2184
"249",1999
"250",2408
"251",2247
"252",1607
"253",1090
"254",2077
"255",2002
"256",1975
"257",1963
"258",1881
"259",2321
"260",2052
"261",1966
"262",2218
"263",2041
"264",1722
"265",760
"266",1961
"267",2045
"268",1846
"269",2026
"270",2104
"271",2340
"272",2087
"273",2163
"274",2081
"275",2080
"276",1429
"277",1000
"278",2057
"279",2078
"280",1610
"281",2070
"282",2082
"283",1956
"284",2096
"285",2025
"286",2063
"287",2081
"288",1738
"289",790
"290",1803
"291",1654
"292",1614
"293",1804
"294",1846
"295",1714
"296",1794
"297",1638
"298",1854
"299",1826
"300",1188
"301",688
"302",1831
"303",1810
"304",1357
"305",1883
"306",1629
"307",1695
"308",1794
"309",1638
"310",1854
"311",1826
"312",1188
"313",790
"314",1505
"315",1532
"316",1480
"317",1808
"318",1699
"319",1829
"320",1729
"321",1664
"322",1882
"323",1797
"324",1249
"325",888
"326",1509
"327",1533
"328",1294
"329",1548
"330",1627
"331",1623
"332",1576
"333",1755
"334",1747
"335",1635
"336",1370
"337",872
"338",1466
"339",1550
"340",1485
"341",1502
"342",1601
"343",1694
"344",1819
"345",1796
"346",1617
"347",1694
"348",1421
"349",1113
"350",1830
"351",1894
"352",1954
"353",2141
"354",2040
"355",2011
"356",2197
"357",2162
"358",2264
"359",2240
"360",1651
"361",1364
"362",1930
"363",1910
"364",1493
"365",1956
"366",1917
"367",2010
"368",2117
