"","x"
"1",122.64
"2",120.888
"3",164.688
"4",147.168
"5",171.696
"6",228.636
"7",124.392
"8",155.928
"9",217.248
"10",176.076
"11",142.788
"12",196.224
"13",228.636
"14",234.768
"15",319.74
"16",241.776
"17",151.548
"18",352.152
"19",239.148
"20",233.892
"21",471.288
"22",290.832
"23",284.7
"24",291.708
"25",287.328
"26",315.36
"27",417.852
"28",288.204
"29",225.132
"30",430.992
"31",229.512
"32",296.964
"33",355.656
"34",367.92
"35",317.112
"36",359.16
"37",249.66
"38",455.52
"39",607.068
"40",425.736
"41",494.064
"42",486.18
"43",494.064
"44",459.024
"45",543.12
"46",567.648
"47",613.2
"48",791.904
"49",305.724
"50",713.064
"51",1156.32
"52",829.572
"53",865.488
"54",1318.38
"55",971.484
"56",817.308
"57",1079.232
"58",1013.532
"59",986.376
"60",1264.068
"61",997.764
"62",1415.616
"63",1709.952
"64",1443.648
"65",1619.724
"66",2120.796
"67",923.304
"68",860.232
"69",1639.872
"70",1106.388
"71",1161.576
"72",1034.556
"73",960.972
"74",1214.136
"75",1492.704
"76",991.632
"77",1025.796
"78",1399.848
"79",818.184
"80",865.488
"81",1547.892
"82",1003.02
"83",960.972
"84",1568.04
"85",1065.216
"86",1107.264
"87",2411.628
"88",1510.224
"89",1876.392
"90",1792.296
"91",1307.868
"92",1705.572
"93",1945.596
"94",2219.784
"95",2528.136
"96",3534.66
"97",1546.14
"98",2246.064
"99",2930.22
"100",2462.436
"101",2551.788
"102",3140.46
"103",2437.032
"104",2109.408
"105",3853.523
"106",2840.868
"107",3164.112
"108",3946.38
"109",3044.976
"110",3957.768
"111",4552.571
"112",3651.167
"113",3861.408
"114",5048.388
"115",2990.664
"116",2677.056
"117",5566.103
"118",3661.68
"119",2435.28
"120",3550.428
"121",2215.404
"122",3312.156
"123",4289.771
"124",3218.424
"125",3193.02
"126",3542.544
"127",2169.852
"128",1536.504
"129",3454.944
"130",2351.184
