"","x"
"1",3923
"2",4436
"3",4806
"4",4418
"5",4339
"6",4811
"7",5259
"8",4735
"9",4608
"10",5196
"11",5616
"12",4977
"13",4883
"14",5744
"15",6035
"16",5514
"17",5387
"18",6211
"19",6659
"20",5983
"21",5709
"22",6458
"23",6875
"24",6162
"25",6098
"26",7075
"27",7595
"28",6882
"29",6707
"30",7874
"31",8555
"32",7503
"33",7469
"34",8829
"35",9513
"36",8415
"37",8270
"38",9503
"39",10306
"40",9077
"41",8650
"42",10180
"43",11234
"44",9836
"45",9489
"46",10991
"47",12170
"48",10470
"49",10089
"50",11858
"51",13198
"52",11413
"53",11136
"54",13040
"55",14248
"56",12762
"57",12328
"58",14493
"59",15661
"60",13781
"61",13299
"62",15230
"63",16667
"64",14484
"65",13838
"66",15919
"67",17149
"68",15564
"69",15024
"70",17064
"71",18512
"72",16467
"73",16249
"74",18515
"75",20377
"76",17681
"77",16692
"78",19184
"79",20078
"80",18260
"81",18023
"82",20234
"83",22272
"84",19684
"85",19031
"86",21545
"87",23270
"88",20107
"89",20084
"90",22634
"91",24494
"92",21396
"93",21323
"94",23644
"95",25994
"96",22802
"97",22604
"98",24510
"99",26690
"100",24132
"101",23639
"102",26320
"103",28345
"104",24890
"105",24675
"106",27122
"107",28590
"108",25371
"109",24687
"110",27285
"111",29290
"112",26684
"113",26641
"114",29042
"115",31876
"116",28357
"117",28114
"118",30843
"119",33175
"120",29658
"121",29518
"122",32017
"123",34390
"124",31065
"125",31039
"126",33712
"127",35850
"128",33111
"129",33140
"130",34664
"131",37170
"132",35352
"133",34948
"134",37382
"135",40171
"136",36561
"137",37006
"138",39217
"139",41205
"140",37856
"141",37713
"142",38944
"143",41238
"144",37800
"145",38024
"146",39466
"147",41934
"148",38185
"149",38930
"150",40822
"151",42198
"152",40222
"153",39177
"154",40215
"155",42855
