"","x"
"1",465
"2",532
"3",561
"4",570
"5",529
"6",604
"7",603
"8",582
"9",554
"10",620
"11",646
"12",637
"13",573
"14",673
"15",690
"16",681
"17",621
"18",698
"19",753
"20",728
"21",688
"22",737
"23",782
"24",692
"25",637
"26",757
"27",783
"28",757
"29",674
"30",734
"31",835
"32",838
"33",797
"34",904
"35",949
"36",975
"37",902
"38",974
"39",969
"40",967
"41",849
"42",961
"43",966
"44",922
"45",836
"46",998
"47",1025
"48",971
"49",892
"50",973
"51",1047
"52",1017
"53",948
"54",1032
"55",1190
"56",1136
"57",1049
"58",1134
"59",1229
"60",1188
"61",1058
"62",1209
"63",1199
"64",1253
"65",1070
"66",1282
"67",1303
"68",1281
"69",1148
"70",1305
"71",1342
"72",1452
"73",1184
"74",1352
"75",1316
"76",1353
"77",1121
"78",1297
"79",1318
"80",1281
"81",1109
"82",1299
"83",1341
"84",1290
"85",1101
"86",1284
"87",1321
"88",1317
"89",1122
"90",1261
"91",1312
"92",1298
"93",1202
"94",1302
"95",1377
"96",1359
"97",1232
"98",1386
"99",1440
"100",1439
"101",1282
"102",1573
"103",1533
"104",1651
"105",1347
"106",1575
"107",1475
"108",1357
"109",1086
"110",1158
"111",1279
"112",1313
"113",1166
"114",1373
"115",1456
"116",1496
"117",1251
"118",1456
"119",1631
"120",1554
"121",1347
"122",1516
"123",1546
"124",1564
"125",1333
"126",1458
"127",1499
"128",1613
"129",1416
"130",1625
"131",1770
"132",1791
"133",1622
"134",1719
"135",1972
"136",1893
"137",1575
"138",1644
"139",1658
"140",1668
"141",1343
"142",1441
"143",1444
"144",1497
"145",1267
"146",1501
"147",1538
"148",1569
"149",1450
"150",1569
"151",1648
"152",1777
"153",1468
"154",1732
"155",1962
