"","x"
"1",540
"2",559
"3",552
"4",577
"5",608
"6",606
"7",669
"8",630
"9",601
"10",655
"11",727
"12",729
"13",695
"14",729
"15",765
"16",770
"17",767
"18",788
"19",841
"20",827
"21",755
"22",835
"23",870
"24",813
"25",874
"26",869
"27",959
"28",912
"29",927
"30",969
"31",1031
"32",1043
"33",1021
"34",1077
"35",1143
"36",1140
"37",1172
"38",1114
"39",1281
"40",1294
"41",1167
"42",1230
"43",1333
"44",1373
"45",1310
"46",1327
"47",1424
"48",1384
"49",1364
"50",1394
"51",1436
"52",1485
"53",1469
"54",1483
"55",1525
"56",1570
"57",1372
"58",1427
"59",1507
"60",1470
"61",1400
"62",1390
"63",1515
"64",1402
"65",1217
"66",1377
"67",1565
"68",1564
"69",1545
"70",1476
"71",1738
"72",1660
"73",1624
"74",1470
"75",1571
"76",1814
"77",1460
"78",1370
"79",1455
"80",1363
"81",1431
"82",1314
"83",1434
"84",1464
"85",1391
"86",1739
"87",1666
"88",1594
"89",1655
"90",1603
"91",1725
"92",1663
"93",1631
"94",1609
"95",1708
"96",1712
"97",1656
"98",1257
"99",1612
"100",1459
"101",1584
"102",1531
"103",1519
"104",1261
"105",1323
"106",1346
"107",1076
"108",831
"109",759
"110",917
"111",1012
"112",981
"113",993
"114",903
"115",1031
"116",970
"117",964
"118",1027
"119",1167
"120",1158
"121",1057
"122",1064
"123",1088
"124",1027
"125",828
"126",727
"127",706
"128",616
"129",649
"130",690
"131",646
"132",731
"133",605
"134",596
"135",674
"136",630
"137",524
"138",612
"139",685
"140",613
"141",609
"142",615
"143",653
"144",589
"145",611
"146",642
"147",678
