"","x"
"1",7992
"2",6114
"3",5965
"4",8460
"5",8323
"6",6333
"7",5675
"8",10090
"9",9035
"10",6976
"11",6459
"12",10896
"13",9978
"14",7466
"15",7199
"16",10977
"17",9412
"18",6341
"19",7784
"20",11911
"21",10079
"22",7721
"23",8197
"24",12038
"25",11963
"26",8033
"27",8618
"28",13625
"29",11734
"30",8895
"31",8727
"32",13974
"33",12583
"34",9525
"35",9662
"36",15490
"37",13839
"38",10047
"39",9788
"40",14978
"41",13045
"42",9489
"43",8741
"44",13149
"45",14106
"46",9998
"47",10034
"48",15081
"49",13266
"50",9997
"51",9027
"52",14324
"53",13149
"54",11209
"55",10332
"56",15354
"57",13800
"58",11786
"59",10550
"60",16114
"61",13255
"62",11403
"63",10269
"64",14009
"65",15847
"66",12967
"67",11328
"68",15814
"69",18626
"70",13219
"71",13818
"72",18062
"73",15722
"74",12111
"75",11702
"76",15589
"77",14852
"78",13612
"79",12380
"80",15501
"81",16322
"82",12157
"83",11124
"84",14621
"85",14035
"86",11159
"87",10944
"88",15824
"89",14378
"90",11816
"91",12233
"92",17344
"93",16812
"94",12181
"95",13275
"96",18458
"97",17375
"98",14609
"99",13323
"100",18327
"101",16053
"102",15070
"103",13806
"104",18245
"105",17461
"106",14999
"107",16022
"108",20564
"109",16372
"110",15854
"111",15115
"112",18207
"113",19488
"114",16644
"115",18631
"116",21093
"117",22212
"118",19762
"119",19403
"120",21227
"121",23176
"122",20823
"123",20647
"124",21336
"125",23458
"126",22003
"127",21647
"128",26416
"129",25226
"130",24723
"131",19945
"132",24040
"133",25034
"134",24885
"135",21168
"136",23541
"137",26019
"138",24657
"139",20599
"140",24534
"141",28717
"142",26138
"143",22968
"144",26577
"145",28660
"146",30430
"147",27356
"148",25454
"149",30194
