"","x"
"1",189
"2",204
"3",208
"4",197
"5",187
"6",214
"7",227
"8",223
"9",199
"10",229
"11",249
"12",234
"13",208
"14",253
"15",267
"16",255
"17",242
"18",268
"19",290
"20",277
"21",241
"22",253
"23",265
"24",236
"25",229
"26",265
"27",275
"28",258
"29",231
"30",263
"31",308
"32",313
"33",293
"34",328
"35",349
"36",340
"37",309
"38",349
"39",366
"40",340
"41",302
"42",350
"43",362
"44",337
"45",326
"46",358
"47",359
"48",357
"49",341
"50",380
"51",404
"52",409
"53",383
"54",417
"55",454
"56",428
"57",386
"58",428
"59",434
"60",417
"61",385
"62",433
"63",453
"64",436
"65",399
"66",461
"67",476
"68",477
"69",452
"70",461
"71",534
"72",516
"73",478
"74",526
"75",518
"76",417
"77",340
"78",437
"79",459
"80",449
"81",424
"82",501
"83",540
"84",533
"85",457
"86",513
"87",522
"88",478
"89",421
"90",487
"91",470
"92",482
"93",458
"94",526
"95",573
"96",563
"97",513
"98",551
"99",589
"100",564
"101",519
"102",581
"103",581
"104",578
"105",500
"106",560
"107",512
"108",412
"109",303
"110",409
"111",420
"112",413
"113",400
"114",469
"115",482
"116",484
"117",447
"118",507
"119",533
"120",503
"121",443
"122",503
"123",505
"124",443
"125",415
"126",485
"127",495
"128",458
"129",427
"130",519
"131",555
"132",539
"133",511
"134",572
"135",570
"136",526
"137",472
"138",524
"139",497
"140",460
"141",373
"142",436
"143",424
"144",430
"145",387
"146",413
"147",451
"148",420
"149",394
"150",462
"151",476
"152",443
"153",421
"154",472
"155",494
