"","x"
"1",18689
"2",18233
"3",17327
"4",19545
"5",20700
"6",18788
"7",16960
"8",20993
"9",21768
"10",23068
"11",22548
"12",26618
"13",28958
"14",26789
"15",27599
"16",30102
"17",32741
"18",33157
"19",35317
"20",34215
"21",40044
"22",36658
"23",35557
"24",44100
"25",42607
"26",42467
"27",40868
"28",52842
"29",52522
"30",48580
"31",53866
"32",59699
"33",51398
"34",63732
"35",64234
"36",70467
"37",80465
"38",67844
"39",76204
"40",78563
"41",88887
"42",70198
"43",56572
"44",66171
"45",68748
"46",76024
"47",79542
"48",84877
"49",95686
"50",83638
"51",91067
"52",94780
"53",100431
"54",90943
"55",101551
"56",98621
"57",106973
"58",97093
"59",106796
"60",117974
"61",127131
"62",122122
"63",132919
"64",128627
"65",147738
"66",128718
"67",151598
"68",166746
"69",160155
"70",139665
"71",137873
"72",151924
"73",138007
"74",151771
"75",139527
"76",134849
"77",153146
"78",155071
"79",145265
"80",157793
"81",169891
"82",165117
"83",154896
"84",179637
"85",174075
"86",164564
"87",153512
"88",170231
"89",170026
"90",174337
"91",147573
"92",158655
"93",184105
"94",174890
"95",172304
"96",184355
"97",191043
"98",184808
"99",147016
"100",169904
