"","x"
"1",590.8
"2",619.3
"3",657.4
"4",712.3
"5",743.2
"6",736.5
"7",792.4
"8",756.4
"9",763.7
"10",789.7
"11",816.4
"12",813.1
"13",800.6
"14",861.1
"15",870.5
"16",917.4
"17",871.6
"18",929.7
"19",969.3
"20",982.4
"21",879.9
"22",1002.5
"23",1048.6
"24",1016
"25",1011.8
"26",1059.6
"27",1068.7
"28",1097
"29",1071.4
"30",1117.4
"31",1245.7
"32",1218.9
"33",1240
"34",1197.5
"35",1333.3
"36",1276.6
"37",1250.2
"38",1259.7
"39",1473.1
"40",1476
"41",1338.8
"42",1427
"43",1517.3
"44",1606.7
"45",1506
"46",1563.7
"47",1625.8
"48",1569.9
"49",1571.8
"50",1606.4
"51",1606.6
"52",1716.5
"53",1731.5
"54",1709.3
"55",1758.1
"56",1817.6
"57",1600.8
"58",1701.6
"59",1755.5
"60",1763.5
"61",1624.1
"62",1650.7
"63",1777.7
"64",1684.1
"65",1520.1
"66",1525.7
"67",1785.4
"68",1902.2
"69",1785.6
"70",1746.9
"71",2058.8
"72",2091.1
"73",2005.4
"74",1593.3
"75",1929.9
"76",2226.3
"77",2030.3
"78",1876.5
"79",2023.4
"80",1913.3
"81",1961.3
"82",2039.2
"83",1960.2
"84",1813.2
"85",1809
"86",1890.7
"87",1823.2
"88",1789.8
"89",1946.5
"90",1973.1
"91",1770.5
"92",1898.5
"93",1897.9
"94",1973.8
"95",2096.3
"96",2157.2
"97",2048.9
"98",1592.7
"99",2034.5
"100",1916.8
"101",2053.3
"102",1947.3
"103",1992.6
"104",1641
"105",1788.3
"106",1848
"107",1535.1
"108",1199.4
"109",1218
"110",1353.6
"111",1432
"112",1534
"113",1538
"114",1543
"115",1634
"116",1592
"117",1499
"118",1587
"119",1763
"120",1728
"121",1641
"122",1694
"123",1691
"124",1677
"125",1546
"126",1474
"127",1661
"128",1448
"129",1470
"130",1515
"131",1684
"132",1730
"133",1614
"134",1623
"135",1778
"136",1720
"137",1565
"138",1617
"139",1780
"140",1704
"141",1411
"142",1324
"143",1750
"144",1532
"145",1652
"146",1509
"147",1659
