"","x"
"1",239
"2",220
"3",194
"4",195
"5",245
"6",256
"7",245
"8",234
"9",251
"10",274
"11",260
"12",227
"13",254
"14",260
"15",241
"16",246
"17",284
"18",316
"19",266
"20",253
"21",297
"22",324
"23",275
"24",245
"25",308
"26",327
"27",302
"28",307
"29",339
"30",333
"31",318
"32",357
"33",380
"34",416
"35",374
"36",407
"37",438
"38",442
"39",405
"40",425
"41",469
"42",506
"43",468
"44",491
"45",555
"46",510
"47",477
"48",485
"49",494
"50",470
"51",450
"52",477
"53",511
"54",447
"55",420
"56",491
"57",477
"58",388
"59",377
"60",438
"61",420
"62",375
"63",366
"64",436
"65",400
"66",548
"67",436
"68",570
"69",609
"70",650
"71",578
"72",546
"73",641
"74",665
"75",537
"76",588
"77",418
"78",226
"79",212
"80",295
"81",417
"82",370
"83",340
"84",445
"85",423
"86",514
"87",355
"88",450
"89",502
"90",513
"91",372
"92",474
"93",533
"94",543
"95",438
"96",560
"97",584
"98",593
"99",415
"100",483
"101",554
"102",512
"103",434
"104",520
"105",537
"106",535
"107",412
"108",432
"109",485
"110",452
"111",336
"112",433
"113",507
"114",448
"115",361
"116",452
"117",493
"118",468
"119",376
"120",515
"121",454
"122",443
"123",361
"124",387
"125",480
"126",447
"127",340
"128",467
"129",462
"130",517
"131",428
"132",457
"133",507
"134",486
"135",303
"136",356
"137",435
"138",370
"139",272
"140",238
"141",255
"142",220
"143",161
"144",200
"145",241
"146",211
"147",171
"148",234
"149",248
"150",214
"151",167
"152",225
"153",226
"154",215
