"","x"
"1",6172
"2",6709
"3",6633
"4",6660
"5",6786
"6",6800
"7",6730
"8",6765
"9",6720
"10",7133
"11",6946
"12",7095
"13",7047
"14",6757
"15",6915
"16",6921
"17",7064
"18",7206
"19",7190
"20",7402
"21",7819
"22",7300
"23",7105
"24",7259
"25",7001
"26",7475
"27",6840
"28",7061
"29",5845
"30",7529
"31",7819
"32",6943
"33",5714
"34",6556
"35",7045
"36",5947
"37",5463
"38",6127
"39",5540
"40",4235
"41",3324
"42",4793
"43",5906
"44",5834
"45",5240
"46",5458
"47",5505
"48",5002
"49",3999
"50",4826
"51",5318
"52",4681
"53",4442
"54",5305
"55",5466
"56",4995
"57",4573
"58",5081
"59",5696
"60",5079
"61",4373
"62",4986
"63",5341
"64",4800
"65",4161
"66",5007
"67",5464
"68",5127
"69",4240
"70",5338
"71",5129
"72",4437
"73",3642
"74",4602
"75",5524
"76",4895
"77",4380
"78",5186
"79",6080
"80",5588
"81",5009
"82",5663
"83",6540
"84",6262
"85",5169
"86",5819
"87",6339
"88",5981
"89",4766
"90",5976
"91",6590
"92",5590
"93",5135
"94",5762
"95",6077
"96",5882
"97",4247
"98",5264
"99",5146
"100",4868
"101",4329
"102",4869
"103",5127
"104",4868
"105",3827
"106",4987
"107",5222
"108",4928
"109",3930
"110",4469
"111",4954
"112",4752
"113",3888
"114",4588
"115",5309
"116",4732
"117",4837
"118",6135
"119",6396
