"","x"
"1",5077.7
"2",4981.6
"3",4436.4
"4",4848.7
"5",4836.1
"6",4613.6
"7",4121.6
"8",4674
"9",4659.2
"10",4678.5
"11",4315.4
"12",4792.8
"13",5055.5
"14",4997.3
"15",4552
"16",4937.1
"17",5775.7
"18",5707.9
"19",4945
"20",5394.5
"21",5710.1
"22",5682.6
"23",4941
"24",5064.5
"25",4951.7
"26",4523.6
"27",3686
"28",3953.9
"29",4693.5
"30",4816.1
"31",4336.2
"32",5091.8
"33",5317.1
"34",5673.6
"35",5123.8
"36",5631.9
"37",6239.9
"38",6271.7
"39",5235.6
"40",5897
"41",6043.8
"42",5865.2
"43",5320.5
"44",5927.1
"45",6399.6
"46",6843
"47",6203.3
"48",6588.5
"49",7332.7
"50",7650.3
"51",7028.2
"52",7978.9
"53",8260.5
"54",8107.2
"55",6910.2
"56",7094.2
"57",7140
"58",7165.9
"59",5974.9
"60",6251.7
"61",6002.2
"62",6024.8
"63",5375.3
"64",5892.2
"65",6126.9
"66",6390.8
"67",5783.2
"68",6061.7
"69",6454.1
"70",6731.1
"71",5797.2
"72",6725.3
