"","x"
"1",9.2
"2",8.3
"3",10.8
"4",9
"5",9.2
"6",10.6
"7",11.5
"8",12.1
"9",10
"10",11.8
"11",11.7
"12",12
"13",11.8
"14",12.6
"15",12.2
"16",10.6
"17",12.4
"18",12.2
"19",11.9
"20",12.2
"21",12.5
"22",13
"23",12.4
"24",12.8
"25",12.3
"26",13.4
"27",13.7
"28",13.3
"29",14.9
"30",14.9
"31",15.5
"32",15.9
"33",13.6
"34",12.9
"35",15.8
"36",16.4
"37",20.1
"38",17.4
"39",18.4
"40",18.7
"41",16.1
"42",16.6
"43",16.9
"44",16.9
"45",14.7
"46",15.3
"47",15.8
"48",15.7
"49",15.5
"50",15.8
"51",15.9
"52",15.9
"53",15.8
"54",15.7
"55",15.3
"56",14.8
"57",14.5
"58",14.8
"59",14.9
"60",14.2
"61",13.8
