"","Production","PCchangeGNP"
"1",8006,8.5
"2",6757,10.3
"3",5562,3.9
"4",7349,4
"5",6537,-1.3
"6",9204,5.6
"7",6919,2.1
"8",7220,1.7
"9",5121,-0.8
"10",6724,5.8
"11",7905,2.2
"12",6653,2.6
"13",8197,5.3
"14",9109,4.1
"15",9308,5.3
"16",11138,5.8
"17",10396,5.8
"18",9024,2.9
"19",10820,4.1
"20",10206,2.4
"21",8284,-0.3
"22",10672,2.8
"23",11311,5
"24",12682,5.2
"25",10072,-0.5
"26",8987,-1.3
"27",11497,4.9
"28",12703,4.7
"29",12900,5.3
"30",11480,2.5
"31",8010,-0.2
"32",7943,1.9
"33",6985,-2.5
"34",9205,3.6
"35",10924,6.8
"36",11651,3.4
"37",11335,2.8
"38",10910,3.4
