"","x"
"1",1.9565
"2",1.9794
"3",2.012
"4",2.0449
"5",2.0561
"6",2.0678
"7",2.0561
"8",2.0428
"9",2.029
"10",1.998
"11",1.9884
"12",1.9835
"13",1.9773
"14",1.9748
"15",1.9629
"16",1.9396
"17",1.9309
"18",1.9271
"19",1.9239
"20",1.9414
"21",1.9685
"22",1.9727
"23",1.9736
"24",1.9499
"25",1.9432
"26",1.9569
"27",1.9647
"28",1.971
"29",1.9719
"30",1.9956
"31",2
"32",1.9904
"33",1.9752
"34",1.9494
"35",1.9332
"36",1.9139
"37",1.9091
"38",1.9139
"39",1.8886
"40",1.7945
"41",1.7644
"42",1.7817
"43",1.7784
"44",1.7945
"45",1.7888
"46",1.8751
"47",1.7853
"48",1.6075
"49",1.5185
"50",1.6513
"51",1.6247
"52",1.5391
"53",1.4922
"54",1.4606
"55",1.4551
"56",1.4425
"57",1.4023
"58",1.3991
"59",1.3798
"60",1.3782
"61",1.3366
"62",1.3026
"63",1.2592
"64",1.2635
"65",1.2549
"66",1.2527
"67",1.2763
"68",1.2906
"69",1.2721
"70",1.7669
"71",1.7766
"72",1.7764
"73",1.7942
"74",1.8156
"75",1.8083
"76",1.8083
"77",1.8067
"78",1.8166
"79",1.8041
"80",1.8053
"81",1.8242
"82",1.8395
"83",1.8464
"84",1.8492
"85",1.8668
"86",1.8783
"87",1.8914
"88",1.9166
"89",1.9363
"90",1.9548
"91",1.9453
"92",1.9292
"93",1.9209
"94",1.951
"95",1.9776
"96",1.9814
"97",1.9819
"98",1.9828
"99",2.0076
"100",2
"101",1.9939
"102",1.9933
"103",1.9797
"104",1.9772
"105",1.9924
"106",2.0117
"107",2.0204
"108",2.0018
"109",2.0038
"110",2.0099
"111",2.0174
"112",2.0279
"113",2.0359
"114",2.0216
"115",1.9896
"116",1.9843
"117",1.9764
"118",1.9965
"119",2.0652
"120",2.0369
"121",1.9723
"122",1.9797
"123",2.0136
"124",2.0165
"125",2.0213
"126",2.0206
"127",2.0563
"128",2.0579
"129",2.0649
"130",2.0582
"131",2.0517
"132",2.0491
"133",2.0766
"134",2.089
"135",2.1059
"136",2.1205
"137",2.1205
"138",2.1182
"139",1.9176
"140",1.9059
"141",1.8798
"142",1.8727
"143",1.8984
"144",1.9137
"145",1.9176
"146",1.9176
"147",1.942
"148",1.9547
"149",1.9379
"150",1.9462
"151",1.9504
"152",1.9504
"153",1.9723
"154",2
"155",2.0097
"156",2.0146
"157",2.0146
"158",2.0097
"159",2.0097
"160",2.0097
"161",2.0048
"162",2.0097
"163",2.0296
"164",2.0399
"165",2.0399
"166",2.0296
"167",2.0146
"168",2.0245
"169",2
"170",2.0048
"171",2.0048
"172",2
"173",1.9952
"174",1.9952
"175",1.9905
"176",1.9813
"177",1.9905
"178",1.9859
"179",2.0518
"180",2.0474
"181",2.0341
"182",2.0255
"183",2.0341
"184",1.9445
"185",1.9939
"186",2.2082
"187",2.27
"188",2.243
"189",2.2567
"190",2.2988
"191",2.3723
"192",2.4105
"193",2.4081
"194",2.4081
"195",2.4367
"196",2.4284
"197",2.431
"198",2.4363
"199",2.4552
"200",2.4838
"201",2.4958
"202",2.5048
"203",2.5017
"204",2.4958
"205",2.4838
"206",2.4636
"207",2.458
