"","x"
"1",608
"2",451
"3",529
"4",543
"5",525
"6",549
"7",525
"8",578
"9",609
"10",504
"11",752
"12",613
"13",862
"14",866
"15",1016
"16",1360
"17",1482
"18",1608
"19",1800
"20",1941
"21",1229
"22",1373
"23",1611
"24",1568
"25",983
"26",1046
"27",1453
"28",1504
"29",807
"30",339
"31",562
"32",745
"33",749
"34",862
"35",1034
"36",1054
"37",1164
"38",1102
"39",1145
"40",1012
"41",836
"42",941
"43",981
"44",974
"45",766
"46",920
"47",964
"48",811
"49",789
"50",802
"51",770
"52",639
"53",644
"54",564
"55",1016
"56",921
"57",934
"58",976
"59",930
"60",1052
"61",1184
"62",1089
"63",1087
"64",1154
"65",1330
"66",1980
"67",2223
"68",2203
"69",2514
"70",2726
"71",3185
"72",3351
"73",3438
"74",2917
"75",2359
"76",2240
"77",2196
"78",2111
"79",1806
"80",1644
"81",1814
"82",1770
"83",1518
"84",1103
"85",1266
"86",1473
"87",1423
"88",1767
"89",2161
"90",2336
"91",2602
"92",2518
"93",2637
"94",2177
"95",1920
"96",1910
"97",1984
"98",1787
"99",1689
"100",1866
"101",1896
"102",1684
"103",1633
"104",1657
"105",1569
"106",1390
"107",1387
"108",1289
