"","sales","advertising"
"1",1016,608
"2",921,451
"3",934,529
"4",976,543
"5",930,525
"6",1052,549
"7",1184,525
"8",1089,578
"9",1087,609
"10",1154,504
"11",1330,752
"12",1980,613
"13",2223,862
"14",2203,866
"15",2514,1016
"16",2726,1360
"17",3185,1482
"18",3351,1608
"19",3438,1800
"20",2917,1941
"21",2359,1229
"22",2240,1373
"23",2196,1611
"24",2111,1568
"25",1806,983
"26",1644,1046
"27",1814,1453
"28",1770,1504
"29",1518,807
"30",1103,339
"31",1266,562
"32",1473,745
"33",1423,749
"34",1767,862
"35",2161,1034
"36",2336,1054
"37",2602,1164
"38",2518,1102
"39",2637,1145
"40",2177,1012
"41",1920,836
"42",1910,941
"43",1984,981
"44",1787,974
"45",1689,766
"46",1866,920
"47",1896,964
"48",1684,811
"49",1633,789
"50",1657,802
"51",1569,770
"52",1390,639
"53",1387,644
"54",1289,564
