"","x"
"1",1359.795
"2",1278.564
"3",1508.327
"4",1419.71
"5",1440.51
"6",1424.376
"7",1247.704
"8",495.498
"9",1278.119
"10",1428.715
"11",1221.37
"12",1314.325
"13",1528.94
"14",1486.73
"15",1606.325
"16",1545.355
"17",1489.075
"18",1667.295
"19",1198.295
"20",506.52
"21",1350.72
"22",1402.31
"23",1475.005
"24",1458.59
"25",1416.38
"26",1531.285
"27",1761.095
"28",1632.12
"29",1711.85
"30",1664.95
"31",1435.14
"32",572.18
"33",1477.35
"34",1622.74
"35",1730.61
"36",1641.5
"37",1554.735
"38",1739.99
"39",2002.63
"40",1648.535
"41",1657.915
"42",1948.695
"43",1292.095
"44",555.765
"45",1486.73
"46",1535.975
"47",1650.88
"48",1700.125
"49",1800.96
"50",1798.615
"51",1922.9
"52",1732.955
"53",1723.575
"54",1847.86
"55",1479.695
"56",581.56
"57",1564.115
"58",1648.535
"59",1716.54
"60",1690.745
"61",1915.865
"62",1925.245
"63",2007.32
"64",1892.415
"65",1376.515
"66",1749.37
"67",1728.265
"68",668.325
"69",1671.985
"70",2112.845
"71",1817.375
"72",1838.48
"73",2030.77
"74",1969.8
"75",2124.57
"76",1908.83
"77",1887.725
"78",2051.875
"79",1568.805
"80",811.37
"81",1627.43
"82",2061.255
"83",1636.81
"84",2164.435
"85",1789.235
"86",1990.905
"87",2117.535
"88",2021.39
"89",1667.295
"90",2042.495
"91",1571.15
"92",712.88
"93",1641.5
"94",1648.535
"95",1639.155
"96",1946.35
"97",1960.42
"98",1990.905
"99",2206.645
"100",1815.03
"101",1876
"102",2305.135
"103",1899.45
"104",511.21
"105",1906.485
"106",1798.615
"107",1840.825
"108",1972.145
"109",2012.01
"110",2424.73
"111",2413.005
"112",2080.015
"113",2061.255
"114",2483.355
"115",1807.995
"116",832.475
"117",1953.385
"118",2126.915
"119",2148.02
"120",2176.16
"121",2279.34
"122",2356.725
"123",2485.7
"124",2305.135
"125",2502.115
"126",2288.72
"127",2072.98
"128",785.575
"129",1995.595
"130",2940.63
"131",2912.49
"132",2680.335
"133",2743.65
"134",2417.695
"135",2649.85
"136",2309.825
"137",2640.47
"138",2366.105
"139",2084.705
"140",877.03
"141",2220.715
"142",2253.545
"143",1620.395
"144",1618.05
"145",1488.371
"146",1541.462
"147",1642.743
