"","x"
"1",656
"2",659
"3",601
"4",624
"5",545
"6",502
"7",565
"8",577
"9",549
"10",624
"11",521
"12",520
"13",594
"14",620
"15",537
"16",640
"17",513
"18",639
"19",600
"20",617
"21",636
"22",603
"23",497
"24",600
"25",561
"26",556
"27",505
"28",704
"29",641
"30",632
"31",644
"32",677
"33",574
"34",624
"35",529
"36",512
"37",576
"38",547
"39",561
"40",592
"41",481
"42",574
"43",490
"44",614
"45",529
"46",624
"47",506
"48",617
"49",588
"50",609
"51",632
"52",550
"53",505
"54",625
"55",549
"56",600
"57",549
"58",684
"59",613
"60",648
"61",652
"62",669
"63",588
"64",624
"65",513
"66",536
"67",585
"68",552
"69",597
"70",612
"71",569
"72",496
"73",513
"74",584
"75",537
"76",656
"77",478
"78",629
"79",592
"80",601
"81",582
"82",514
"83",569
"84",612
"85",545
"86",608
"87",581
"88",700
"89",625
"90",636
"91",632
"92",657
"93",546
"94",597
"95",497
"96",544
"97",577
"98",552
"99",593
"100",628
"101",594
"102",540
"103",526
"104",576
"105",555
"106",651
"107",504
"108",609
"109",612
"110",625
"111",517
"112",556
"113",577
"114",600
"115",577
"116",616
"117",609
"118",684
"119",634
"120",628
"121",627
"122",597
"123",564
"124",604
"125",552
"126",560
"127",593
"128",576
"129",609
"130",624
"131",579
"132",507
"133",543
"134",564
"135",552
"136",645
"137",600
"138",569
"139",630
"140",625
"141",563
"142",568
"143",577
"144",624
"145",585
"146",598
"147",613
"148",687
"149",689
"150",600
"151",604
"152",481
"153",513
"154",635
"155",622
"156",576
"157",539
"158",620
"159",613
"160",648
"161",520
"162",561
"163",606
"164",609
"165",619
"166",625
"167",614
"168",614
"169",640
"170",616
"171",563
"172",608
"173",561
"174",624
"175",583
"176",560
"177",632
"178",640
"179",698
"180",592
"181",603
"182",481
"183",492
"184",629
"185",585
"186",575
"187",531
"188",640
"189",641
"190",636
"191",535
"192",565
"193",620
"194",645
"195",628
"196",637
"197",592
"198",641
"199",633
"200",615
"201",577
"202",632
"203",583
"204",637
"205",570
"206",505
"207",632
"208",648
"209",697
"210",604
"211",624
"212",467
"213",622
"214",613
"215",528
"216",568
"217",590
"218",600
"219",644
"220",640
"221",506
"222",577
"223",606
"224",621
"225",614
"226",581
"227",614
"228",627
"229",640
"230",602
"231",597
"232",636
"233",572
"234",625
"235",556
"236",488
"237",642
"238",668
"239",677
"240",637
