"","x"
"1",1025
"2",1031
"3",1062
"4",1040
"5",1044
"6",1065
"7",1055
"8",976
"9",975
"10",974
"11",967
"12",969
"13",947
"14",971
"15",888
"16",976
"17",928
"18",903
"19",920
"20",884
"21",943
"22",950
"23",949
"24",911
"25",900
"26",945
"27",924
"28",973
"29",975
"30",970
"31",970
"32",988
"33",1093
"34",1011
"35",1020
"36",1006
"37",995
"38",995
"39",990
"40",995
"41",1005
"42",1051
"43",1106
"44",1040
"45",1057
"46",1089
"47",1059
"48",1076
"49",1103
"50",1118
"51",1141
"52",1186
"53",1196
"54",1194
"55",1201
"56",1142
"57",1200
"58",1079
"59",1143
"60",1113
"61",1178
"62",1089
"63",1122
"64",1022
"65",1097
"66",1090
"67",1086
"68",1041
"69",1045
"70",955
"71",985
"72",1025
"73",1000
"74",928
"75",985
"76",960
"77",977
"78",1018
"79",1012
"80",1037
"81",1019
"82",1011
"83",991
"84",1003
"85",1013
"86",1023
"87",1005
"88",1019
"89",1075
"90",1027
"91",1030
"92",1009
"93",1026
"94",1025
"95",1031
"96",1029
"97",1037
"98",976
"99",956
"100",924
"101",1006
"102",987
"103",918
"104",968
