"","x"
"1",9318
"2",9867
"3",10161
"4",9896
"5",9883
"6",10431
"7",10406
"8",9246
"9",9218
"10",9111
"11",9101
"12",9184
"13",8609
"14",8975
"15",8078
"16",9162
"17",8782
"18",8399
"19",8734
"20",8347
"21",9036
"22",8566
"23",8793
"24",8452
"25",7984
"26",8697
"27",8704
"28",9044
"29",8822
"30",8654
"31",8651
"32",9078
"33",9494
"34",9233
"35",9375
"36",9190
"37",9015
"38",9276
"39",9336
"40",9661
"41",9739
"42",10172
"43",10982
"44",10546
"45",10587
"46",11333
"47",11161
"48",11327
"49",11530
"50",11805
"51",12249
"52",12891
"53",12486
"54",12374
"55",12010
"56",11948
"57",12576
"58",11321
"59",12008
"60",11424
"61",12307
"62",11281
"63",11742
"64",10277
"65",11111
"66",11219
"67",11007
"68",10858
"69",10909
"70",9143
"71",9842
"72",10288
"73",10056
"74",8425
"75",9620
"76",9185
"77",9495
"78",9421
"79",9717
"80",9925
"81",9628
"82",9354
"83",9072
"84",9083
"85",9240
"86",9244
"87",9281
"88",9548
"89",10267
"90",9858
"91",9778
"92",9765
"93",10282
"94",10309
"95",10266
"96",10433
"97",10381
"98",9883
"99",9539
"100",9573
"101",10608
"102",10320
"103",9516
"104",9715
