"","x"
"1",65480
"2",66875
"3",68090
"4",67377
"5",67235
"6",68250
"7",66885
"8",62965
"9",64194
"10",63335
"11",62705
"12",61449
"13",59711
"14",62685
"15",57780
"16",62462
"17",61795
"18",59900
"19",59541
"20",58041
"21",60870
"22",63810
"23",62225
"24",58485
"25",59000
"26",59545
"27",59618
"28",61230
"29",60988
"30",58725
"31",58342
"32",60390
"33",65108
"34",61234
"35",62358
"36",63199
"37",60787
"38",63499
"39",63048
"40",63518
"41",64657
"42",68126
"43",72254
"44",68734
"45",69733
"46",71854
"47",69673
"48",71305
"49",71876
"50",73432
"51",73954
"52",77696
"53",77455
"54",75190
"55",77265
"56",72260
"57",77430
"58",69619
"59",72199
"60",70104
"61",74728
"62",68842
"63",72560
"64",64872
"65",70475
"66",67670
"67",67850
"68",66588
"69",64049
"70",62683
"71",61040
"72",62908
"73",61495
"74",60690
"75",61745
"76",62775
"77",60000
"78",62390
"79",61670
"80",61847
"81",58652
"82",58655
"83",58750
"84",58545
"85",60275
"86",62150
"87",61720
"88",61560
"89",61595
"90",62540
"91",63777
"92",62872
"93",64344
"94",65020
"95",64385
"96",64370
"97",65392
"98",64067
"99",60974
"100",59040
"101",63816
"102",62174
"103",57239
"104",57230
