"","x"
"1",158
"2",222
"3",248
"4",216
"5",226
"6",239
"7",206
"8",178
"9",169
"10",177
"11",290
"12",245
"13",318
"14",158
"15",274
"16",255
"17",191
"18",244
"19",149
"20",195
"21",247
"22",233
"23",156
"24",203
"25",182
"26",272
"27",256
"28",184
"29",299
"30",246
"31",184
"32",224
"33",316
"34",285
"35",251
"36",248
"37",222
"38",135
"39",337
"40",235
"41",225
"42",282
"43",302
"44",391
"45",261
"46",315
"47",231
"48",231
"49",263
"50",177
"51",270
"52",169
"53",172
"54",243
"55",278
"56",283
"57",200
"58",324
"59",266
"60",214
"61",240
"62",239
"63",224
"64",262
"65",200
