"","x"
"1",562.674
"2",599
"3",668.516
"4",597.798
"5",579.889
"6",668.233
"7",499.232
"8",215.187
"9",555.813
"10",586.935
"11",546.136
"12",571.111
"13",634.712
"14",639.283
"15",712.182
"16",621.557
"17",621
"18",675.989
"19",501.322
"20",220.286
"21",560.727
"22",602.53
"23",626.379
"24",605.508
"25",646.783
"26",658.442
"27",712.906
"28",687.714
"29",723.916
"30",707.183
"31",629
"32",237.53
"33",613.296
"34",730.444
"35",734.925
"36",651.812
"37",676.155
"38",748.183
"39",810.681
"40",729.363
"41",701.108
"42",790.079
"43",594.621
"44",230.716
"45",617.189
"46",691.389
"47",701.067
"48",705.777
"49",747.636
"50",773.392
"51",813.788
"52",766.713
"53",728.875
"54",749.197
"55",680.954
"56",241.424
"57",680.234
"58",708.326
"59",694.238
"60",772.071
"61",795.337
"62",788.421
"63",889.968
"64",797.393
"65",751
"66",821.255
"67",691.605
"68",290.655
"69",727.147
"70",868.355
"71",812.39
"72",799.556
"73",843.038
"74",847
"75",941.952
"76",804.309
"77",840.307
"78",871.528
"79",656.33
"80",370.508
"81",742
"82",847.152
"83",731.675
"84",898.527
"85",778.139
"86",856.075
"87",938.833
"88",813.023
"89",783.417
"90",828.11
"91",657.311
"92",310.032
"93",780
"94",860
"95",780
"96",807.993
"97",895.217
"98",856.075
"99",893.268
"100",875
"101",835.088
"102",934.595
"103",832.5
"104",300
"105",791.443
"106",900
"107",781.729
"108",880
"109",875.024
"110",992.968
"111",976.804
"112",968.697
"113",871.675
"114",1006.852
"115",832.037
"116",345.587
"117",849.528
"118",913.871
"119",868.746
"120",993.733
