"","x"
"1",6550
"2",8728
"3",12026
"4",14395
"5",14587
"6",13791
"7",9498
"8",8251
"9",7049
"10",9545
"11",9364
"12",8456
"13",7237
"14",9374
"15",11837
"16",13784
"17",15926
"18",13821
"19",11143
"20",7975
"21",7610
"22",10015
"23",12759
"24",8816
"25",10677
"26",10947
"27",15200
"28",17010
"29",20900
"30",16205
"31",12143
"32",8997
"33",5568
"34",11474
"35",12256
"36",10583
"37",10862
"38",10965
"39",14405
"40",20379
"41",20128
"42",17816
"43",12268
"44",8642
"45",7962
"46",13932
"47",15936
"48",12628
"49",12267
"50",12470
"51",18944
"52",21259
"53",22015
"54",18581
"55",15175
"56",10306
"57",10792
"58",14752
"59",13754
"60",11738
"61",12181
"62",12965
"63",19990
"64",23125
"65",23541
"66",21247
"67",15189
"68",14767
"69",10895
"70",17130
"71",17697
"72",16611
"73",12674
"74",12760
"75",20249
"76",22135
"77",20677
"78",19933
"79",15388
"80",15113
"81",13401
"82",16135
"83",17562
"84",14720
"85",12225
"86",11608
"87",20985
"88",19692
"89",24081
"90",22114
"91",14220
"92",13434
"93",13598
"94",17187
"95",16119
"96",13713
"97",13210
"98",14251
"99",20139
"100",21725
"101",26099
"102",21084
"103",18024
"104",16722
"105",14385
"106",21342
"107",17180
"108",14577
