"","x"
"1",239.6
"2",236.4
"3",236.8
"4",241.5
"5",243.7
"6",246.1
"7",244.1
"8",244.2
"9",244.8
"10",246.6
"11",250.9
"12",261.4
"13",237.6
"14",235.7
"15",236.1
"16",242.6
"17",244.5
"18",246.6
"19",245.7
"20",247.7
"21",248.9
"22",251.4
"23",255.9
"24",263.7
"25",242.2
"26",239.3
"27",239.7
"28",247.2
"29",249.3
"30",252.3
"31",252.8
"32",253.6
"33",254.2
"34",256.1
"35",260.3
"36",268.8
"37",250.1
"38",247.9
"39",249
"40",253.8
"41",258.3
"42",261.3
"43",261.3
"44",261.9
"45",263.3
"46",267.3
"47",270.6
"48",281.5
"49",261.9
"50",258.6
"51",259.7
"52",266
"53",271.1
"54",274.4
"55",274
"56",273.8
"57",274.9
"58",280
"59",285.4
"60",295.9
"61",275.4
"62",273.6
"63",275.9
"64",281.1
"65",285.2
"66",289.1
"67",289.2
"68",288.9
"69",291.1
"70",295.3
"71",300.2
"72",310.9
"73",286.9
"74",283
"75",286.2
"76",291.5
"77",295.4
"78",299.7
"79",297.9
"80",298.1
"81",300.2
"82",304.8
"83",311.9
"84",320.9
"85",298.3
"86",295.5
"87",297.2
"88",302.7
"89",306.7
"90",309.1
"91",308.7
"92",309.9
"93",310.8
"94",314.7
"95",321.2
"96",329
"97",307.6
"98",305.5
"99",308
"100",314.4
"101",320.5
"102",323.4
"103",323
"104",324.4
"105",326.1
"106",329.3
"107",335
"108",341.9
"109",321.8
"110",317.3
"111",318.6
"112",323.4
"113",327.1
"114",327.9
"115",325.3
"116",325.7
"117",330
"118",333.5
"119",337.1
"120",341.3
"121",321.6
"122",318.2
"123",319.6
"124",326.2
"125",332.3
"126",334.2
"127",334.5
"128",335.5
"129",335.1
"130",338.2
"131",341.9
"132",347.9
"133",329.5
"134",326.4
"135",329.1
"136",337.2
"137",344.6
"138",349.9
"139",351
"140",353.8
"141",354.5
"142",357.4
"143",362.1
"144",367.5
"145",347.9
"146",345
"147",348.9
"148",355.3
"149",362.4
"150",366.6
"151",366
"152",370.2
"153",370.9
"154",374.5
"155",380.2
"156",384.6
"157",360.6
"158",354.4
"159",357.4
"160",367
"161",375.7
"162",381
"163",381.2
"164",383
"165",384.3
"166",387
"167",391.7
"168",396
"169",374
"170",370.4
"171",373.2
"172",381.1
"173",389.9
"174",394.6
"175",394
"176",397
"177",397.2
"178",399.4
